index,aid,code,source,target,eventtext,sentence,sentence_id
45,22694269,030,.,the ... Marcoses.,will.,"Afterward , former Senator Salonga told the crowd , `` We will drive out the Marcoses by the sheer force of our numbers . ''.",21
46,22694269,141,crowd ... the <SUBURBAN> <CROWD> [*2*CIV].,The ... vicinity.,poured ... march.,"The suburban crowd of 10,000 poured out to march to the vicinity of the palace , but many of them were discouraged by heavy rains ..",22
47,22694269,110,heavy rains.,many.,<*6*> ... discouraged by <*7*>.,"The suburban crowd of 10,000 poured out to march to the vicinity of the palace , but many of them were discouraged by heavy rains ..",22
48,22694269,173,The police.,youths <YOUTHS> [*2*CVL].,police arrested.,The police arrested six youths on charges of disturbing the peace ..,24
49,23810040,183,a ... car bomb.,The ... State Department.,had <&WEAPON> exploded.,The reports and rumors came in a torrent  A car bomb had exploded at the State Department ..,2
50,23810040,141,Dozens.,the threat.,.,"Dozens of interviews with current and former officials demonstrate that even as the threat of terrorism mounted through eight years of the Clinton administration and eight months of President Bush , the government did not marshal its full forces against it ..",12
51,23810040,050,The inquiry.,a ... weakness.,revealed.,"The inquiry into that attack revealed a weakness in the immigration system used by one of the terrorists , but that hole was never plugged , and it was exploited by one of the Sept. 11 hijackers ..",16
52,23810040,180,That new proposal.,way.,had wound.,"That new proposal had wound its way to the desk of the national security advisor , Condoleezza Rice , and was ready to be delivered to the president for final approval on Monday , Sept. 10 ..",26
53,23810040,060,The Clinton administration [USAELI].,efforts.,intensified.,The Clinton administration intensified efforts against Al Qaeda after two United States Embassies in Africa were bombed in 1998 ..,34
54,23810040,121,The ... C.I.A..,an ... exact location.,could.,"There were no precise warnings of impending attacks , and the C.I.A. could not provide an exact location for Mr. bin Laden , which was essential to the objective of killing him ..",41
55,23810040,171,the threat.,root.,took.,"In an era of opulence and invincibility , the threat of terrorism never took root as a dominant political issue ..",51
56,23810040,030,A full fight.,the sacrifice.,might ... meant.,"A full fight against terrorism might have meant the sacrifice of money , individual liberties and , perhaps , lives -- and even then without any guarantee of success ..",53
57,23810040,130,Mr. Clarke.,the ... threat.,<and> ... warned.,"Mr. Clarke , until recently the White House director of counter terrorism , warned of the threat for years and reached this conclusion  `` Democracies do not prepare well for things that have never happened before . ''.",54
58,23810040,130,Mr. Clarke.,years.,<and> ... warned.,"Mr. Clarke , until recently the White House director of counter terrorism , warned of the threat for years and reached this conclusion  `` Democracies do not prepare well for things that have never happened before . ''.",54
59,23810040,171,a ... dangerous phenomenon.,root.,had taken.,The implications of the F.B.I. 's investigation were disturbingly clear  A dangerous phenomenon had taken root ..,59
60,23810040,042,Mr. Clinton.,the ... site.,visited.,"Mr. Clinton , who would prove gifted at leading the nation through sorrowful occasions , never visited the site ..",67
61,23810040,043,the ... site.,Mr. Clinton.,visited.,"Mr. Clinton , who would prove gifted at leading the nation through sorrowful occasions , never visited the site ..",67
62,23810040,010,Mr. Woolsey.,an interview.,said.,But Mr. Woolsey said in an interview that this material was not shared with the C.I.A. because of rules governing grand jury secrecy ..,75
63,23810040,040,The C.I.A..,own obstacles ... former agency officials.,faced.,"The C.I.A. faced its own obstacles , former agency officials say ..",76
64,23810040,010,.,an interview.,declared.,"`` We are going to have to be very , very tough in dealing with this , '' he declared in an interview ..",82
65,23810040,100,months.,government ... the <GOVERNMENT> [*3*GOV].,ordered.,"Two months after the bombing , Mr. Clinton ordered the government to intensify the fight against terrorism ..",86
66,23810040,121,The order.,agencies.,did.,"The order did not give agencies involved in the fight more money , nor did it end the bureaucratic turf battles among them ..",87
67,23810040,010,the State Department.,a ... dossier.,circulated.,"To build support for this effort among Middle Eastern governments , the State Department circulated a dossier that accused Mr. bin Laden of financing radical Islamic causes around the world ..",92
68,23810040,112,The document.,.,implicated.,"The document implicated him in several attacks on Americans , including the 1992 bombing of a hotel in Aden , Yemen , where American troops had stayed on their way to Somalia ..",93
69,23810040,040,Sudanese [SDN].,C.I.A. ... State Department counterparts.,<and> ... met.,Sudanese officials met with their C.I.A. and State Department counterparts and signaled that they might turn Mr. bin Laden over to another country ..,95
70,23810040,111,Critics.,this.,.,Critics of the administration 's effort said this was an early missed opportunity to destroy Al Qaeda ..,99
71,23810040,195,The previous month.,a ... truck bomb.,had <&AIRCRAFT> detonated <&WEAPON>.,"The previous month , a suicide bomber had detonated a truck bomb at a military barracks in Saudi Arabia , killing 19 American servicemen ..",111
72,23810040,183,T.W.A. Flight.,Long Island.,had exploded.,"Days later , T.W.A. Flight 800 had exploded off Long Island , leaving 230 people dead in a crash that was immediately viewed as terrorism ..",112
73,23810040,030,percent.,Mr. ... Dole.,said ... would.,Seven percent of those who saw it said they would switch from Mr. Clinton to Mr. Dole ..,114
74,23810040,030,percent.,Mr. Clinton.,said ... would.,Seven percent of those who saw it said they would switch from Mr. Clinton to Mr. Dole ..,114
75,23810040,010,Mr. Morris.,Mr. ... Clinton.,said ... told.,Mr. Morris said he told Mr. Clinton that he could neutralize such a line of attack by adopting tougher policies on terrorism and airport security ..,120
76,23810040,010,.,polls.,.,He said his polls had found support for tightening security and confronting terrorists ..,121
77,23810040,050,.,a ... federal takeover.,<and> ... backed.,They backed a federal takeover of airport screening and even supported deployment of the military inside the United States to fight terrorism ..,123
78,23810040,050,Mr. Morris.,president <THE> <PRESIDENT> [*2*GOV].,said <and> ... failed ... persuade.,Mr. Morris said he tried and failed to persuade the president to undertake a broader war on terrorism ..,124
79,23810040,010,spokeswoman ... a <SPOKESWOMAN> <JULIA> Payne [*4*MED].,Terrorism.,.,"Mr. Clinton declined repeated requests for an interview , but a spokeswoman , Julia Payne , said  `` Terrorism was always a top priority in the Clinton administration ..",125
80,23810040,120,Mr. Clinton.,.,declined.,"Mr. Clinton declined repeated requests for an interview , but a spokeswoman , Julia Payne , said  `` Terrorism was always a top priority in the Clinton administration ..",125
81,23810040,171,.,a ... dramatic event.,takes.,"`` Unfortunately , it takes a dramatic event to focus the government 's and public 's attention , especially on an issue as amorphous as terrorism , '' said Gerry Kauvar , staff director of the commission and now a senior policy analyst at the RAND Corporation ..",137
82,23810040,060,defector ... the <FIRST> <SIGNIFICANT> <DEFECTOR> [*1*OPP].,A ... detailed account.,<and> ... provided.,"A few months earlier , the first significant defector from Al Qaeda had walked into an American Embassy in Africa and provided a detailed account of the organization 's operations and ultimate objectives ..",139
83,23810040,010,A senior official.,significance.,.,A senior official said their significance was not fully understood by Mr. Clinton 's top advisors until his public testimony in 2000 ..,144
84,23810040,130,John P. O'Neill ... a senior F.B.I. official.,A ... June ... speech.,warned.,"`` Almost all of the groups today , if they chose , have the ability to strike us in the United States , '' John P. O'Neill , a senior F.B.I. official involved in counter terrorism , warned in a June 1997 speech ..",148
85,23810040,090,The F.B.I. ... C.I.A..,a ... house.,searched.,"The F.B.I. and C.I.A. searched a house in Kenya , seizing a computer and questioning Wadih El-Hage , an American citizen working as Mr. bin Laden 's personal secretary ..",154
86,23810040,010,American [USA].,the operations.,counted.,American officials counted the operations as a success and believed they had disrupted a potentially dangerous terrorist cell ..,155
87,23810040,170,Mr. Clinton.,perpetrators <THE> <PERPETRATORS> [*3*CRM].,vowed ... punish.,"Stunned by the plot 's ambition and precision , Mr. Clinton vowed to punish the perpetrators , who were quickly identified as Al Qaeda adherents ..",157
88,23810040,040,a ... scandal.,administration <ADMINISTRATION> [*1*GOV].,<*1*GOV> ... weighed ... by <*2*>.,His administration was weighed down by a scandal over his relationship with a White House intern ..,160
89,23810040,015,Mr. Clinton.,a ... grand jury.,was ... acknowledge.,Mr. Clinton was about to acknowledge to a grand jury that his public and private denials of the affair had been misleading ..,161
90,23810040,010,Republicans.,every foreign policy decision.,depicted.,Republicans depicted every foreign policy decision as an attempt to distract voters ..,162
91,23810040,193,hours.,The ... missiles.,<&WEAPON> ... struck.,"The C.I.A. had been told that Mr. bin Laden and his entourage were meeting at the camp , but the missiles struck just a few hours after he left ..",165
92,23810040,193,The ... missiles.,hours.,<&WEAPON> ... struck.,"The C.I.A. had been told that Mr. bin Laden and his entourage were meeting at the camp , but the missiles struck just a few hours after he left ..",165
93,23810040,040,the owner.,claim.,came ... to.,"And the owner of the pharmaceutical factory came forward to claim that it had nothing to do with chemical weapons , raising questions about whether the Sudan strike had been in error ..",166
94,23810040,010,several former officials.,The ... criticism.,.,"The Clinton administration stood by its actions , but several former officials said the criticism had an effect on the pursuit of Al Qaeda  Mr. Clinton became even more cautious about using force against terrorists ..",167
95,23810040,051,The Clinton administration [USAELI].,actions.,stood by.,"The Clinton administration stood by its actions , but several former officials said the criticism had an effect on the pursuit of Al Qaeda  Mr. Clinton became even more cautious about using force against terrorists ..",167
96,23810040,150,bin Laden [IMGMUSALQ].,a ... formidable base.,had built ... base.,"In the two years since leaving Sudan , Mr. bin Laden had built a formidable base in Afghanistan ..",169
97,23810040,060,The ... Clinton administration [USAELI].,efforts.,"<['STEPPED',> <'UP']>.","The Battle IntensifiesStruggling to Track ` Enemy No. 1 ' <break/> In the years after the embassy bombings , the Clinton administration significantly stepped up its efforts to destroy Al Qaeda , tracking its finances , plotting military strikes to wipe out its leadership and prosecuting its members for the bombings and other crimes ..",172
98,23810040,040,American diplomats [USAGOV].,the war.,continued ... weigh.,"When it came to Pakistan , for example , American diplomats continued to weigh the war on terrorism against other pressing issues , including the need to enlist Islamabad 's help in averting a nuclear exchange with India ..",176
99,23810040,040,the ... Counter terrorism Security Group.,a ... week.,met.,"Between 1998 and 2000 , the `` Small Group '' of the Cabinet-rank principals involved in national security met almost every week on terrorism , and the Counter terrorism Security Group , led by Mr. Clarke , met two or three times a week , officials said ..",180
100,23810040,040,the ... Small Group.,week.,met.,"Between 1998 and 2000 , the `` Small Group '' of the Cabinet-rank principals involved in national security met almost every week on terrorism , and the Counter terrorism Security Group , led by Mr. Clarke , met two or three times a week , officials said ..",180
101,23810040,160,The United States [USA].,some Qaeda cells.,<and> ... disrupted.,"The United States disrupted some Qaeda cells , and persuaded friendly intelligence services to arrange the arrest and transfer of Al Qaeda members without formal extradition or legal proceedings ..",181
102,23810040,100,President Clinton [USAELI].,a ... program.,ordered.,"President Clinton also ordered a more aggressive program of covert action , signing an intelligence order that allowed him to use lethal force against Mr. bin Laden ..",183
103,23810040,060,The C.I.A..,efforts.,redoubled.,"The C.I.A. redoubled its efforts to track Mr. bin Laden 's movements , stationing submarines in the Indian Ocean to await the president 's launch order ..",187
104,23810040,010,Officials.,the C.I.A..,.,Officials said the C.I.A. did have some spies within Afghanistan ..,190
105,23810040,010,the C.I.A..,the ... White House [USAGOV].,told.,"On at least three occasions between 1998 and 2000 , the C.I.A. told the White House it had learned where Mr. bin Laden was and where he might soon be ..",191
106,23810040,08,Each time.,the strike.,approved.,"Each time , Mr. Clinton approved the strike ..",192
107,23810040,030,White House [USAGOV].,Abu Hafs.,.,"With such specific information in hand , White House officials wanted Abu Hafs either killed or , preferably , captured and transferred out of Sudan to a friendly state where he could be interrogated , the former officials said ..",195
108,23810040,114,intelligence ... an <INTELLIGENCE> <OFFICIAL> [*1*SPY].,this account.,official disputed.,"An intelligence official disputed this account , saying the C.I.A. made `` a full-tilt effort in a very dangerous environment . ''.",197
109,23810040,010,Gen. ... Pentagon [USAMIL].,Mr. Clinton ... top national security aides.,told.,"But the chairman , Gen. Henry H. Shelton , and other senior Pentagon officers told Mr. Clinton 's top national security aides that they would need to know Mr. bin Laden 's whereabouts 12 to 24 hours in advance ..",201
110,23810040,100,Military <MILITARY> planners [*1*MIL].,an ... attack.,.,Military planners insisted that an attack on Al Qaeda required thousands of troops invading Afghanistan ..,205
111,23810040,052,administration ... a <FORMER> <ADMINISTRATION> <OFFICIAL> [*1*GOV].,the decision.,defended ... decision.,A former administration official recently defended the decision not to employ a commando strike ..,207
112,23810040,030,.,an assault.,would.,"`` It would have been an assault without the kind of war we have seen over the last three months to support it , '' the official said ..",208
113,23810040,012,the C.I.A. ... inability.,Senior officials.,<*1*> ... frustrated by.,Senior officials were frustrated by the C.I.A. 's inability to find hard facts about Al Qaeda 's financial operations ..,218
114,23810040,010,Intelligence <INTELLIGENCE> officials [*1*SPY].,the ... broad efforts.,.,"Intelligence officials said the C.I.A. had amassed considerable detail about the group 's finances , and that information was used in the broad efforts to freeze its accounts after Sept. 11 ..",219
115,23810040,170,.,terrorism.,believed <*2*> ... contained.,"He believed that terrorism could be contained only if Washington devised a `` comprehensive political strategy to pressure Pakistan and other neighbors and allies into isolating not only Mr. bin Laden and Al Qaeda , but the Taliban and others who provide them sanctuary , '' he said , and that did not happen ..",223
116,23810040,110,Academic <ACADEMIC> institutions [*1*EDU].,the recommendation.,opposed.,"Academic institutions opposed the recommendation , fearing that a strict reporting requirement might alienate prospective foreign students , according to government officials ..",242
117,23810040,010,senior officials.,senior officials.,had ... viewing.,"Beginning in 1997 , senior officials at the bureau had begun to rethink their approach to terrorism , viewing it now as a crime to be prevented rather than solved ..",248
118,23810040,060,Each field office.,a ... joint terrorism task force.,was ... establish.,"Each field office was required to establish a joint terrorism task force with local police departments , modeled after the arrangement begun in New York in the mid-1980 's ..",255
119,23810040,010,Mr. Watson.,the meetings.,.,Mr. Watson said that the meetings were a centerpiece of efforts to shore up the bureau 's counter terrorism work that had begun several years earlier ..,257
120,23810040,061,Congress <CONGRESS> [*1*LEG].,the project.,had ... pay.,"Until late last year , Congress had refused to pay for the project ..",260
121,23810040,090,the Clinton administration [USAELI].,new ways.,searched.,"Overseas , the Clinton administration searched for new ways to obtain the intelligence needed to attack Mr. bin Laden ..",264
122,23810040,041,spy plane ... an <UNARMED> <UNMANNED> <SPY> <PLANE> [*1*MILSPY].,the Predator.,.,"In September 2000 , an unarmed , unmanned spy plane called the Predator flew test flights over Afghanistan , providing what several administration officials called incomparably detailed real time video and photographs of the movements of what appeared to be Mr. bin Laden and his aides ..",265
123,23810040,190,an explosive-laden dinghy.,sailors.,exploded ... killing.,"On Oct. 12 , an explosive-laden dinghy piloted by two suicide bombers exploded next to the American destroyer Cole in Yemen , killing 17 sailors ..",268
124,23810040,060,Intelligence <INTELLIGENCE> analysts [*1*SPY].,the bombing.,linked.,"Intelligence analysts linked the bombing to Al Qaeda , but at a series of Cabinet-level meetings , Mr. Tenet of the C.I.A. and senior F.B.I. officials said the case was not conclusive ..",269
125,23810040,120,the ... presidential campaign.,Terrorism.,<*1*>.,Terrorism was not raised as an issue by either Vice President Al Gore or George W. Bush in the 2000 presidential campaign ..,273
126,23810040,120,Vice President Al Gore [USAELI].,Terrorism.,<*1*>.,Terrorism was not raised as an issue by either Vice President Al Gore or George W. Bush in the 2000 presidential campaign ..,273
127,23810040,120,George W. Bush [USAGOV].,Terrorism.,<*1*>.,Terrorism was not raised as an issue by either Vice President Al Gore or George W. Bush in the 2000 presidential campaign ..,273
128,23810040,040,The New TeamSeeing.,office.,prepared ... leave.,"The New TeamSeeing the Threat But Moving Slowly <break/> As he prepared to leave office last January , Mr. Berger met with his successor , Condoleezza Rice , and gave her a warning ..",277
129,23810040,130,The New TeamSeeing.,.,<and> ... gave ... warning.,"The New TeamSeeing the Threat But Moving Slowly <break/> As he prepared to leave office last January , Mr. Berger met with his successor , Condoleezza Rice , and gave her a warning ..",277
130,23810040,130,The New TeamSeeing.,a ... warning.,<and> ... gave ... warning.,"The New TeamSeeing the Threat But Moving Slowly <break/> As he prepared to leave office last January , Mr. Berger met with his successor , Condoleezza Rice , and gave her a warning ..",277
131,23810040,040,The New TeamSeeing.,last January.,prepared ... leave.,"The New TeamSeeing the Threat But Moving Slowly <break/> As he prepared to leave office last January , Mr. Berger met with his successor , Condoleezza Rice , and gave her a warning ..",277
132,23810040,040,The New TeamSeeing.,Condoleezza Rice [USAGOV].,<and> ... met.,"The New TeamSeeing the Threat But Moving Slowly <break/> As he prepared to leave office last January , Mr. Berger met with his successor , Condoleezza Rice , and gave her a warning ..",277
133,23810040,130,Mr. Tenet.,Senate Intelligence Committee [USAGOVLEG].,warned.,"A month later , with the administration still getting organized , Mr. Tenet , whom President Bush had asked to stay on at the C.I.A. , warned the Senate Intelligence Committee that Mr. bin Laden and Al Qaeda remained `` the most immediate and serious threat '' to security ..",279
134,23810040,030,.,a ... plan.,said ... wanted.,He said he wanted a plan to `` bring this guy down . ''.,289
135,23810040,030,President Bush ... national security advisors [USAGOVGOVMIL].,the plan.,approved ... plan.,"President Bush 's national security advisors approved the plan on Sept. 4 , a senior administration official said , and it was to be presented to the president on Sept. 10 ..",293
136,23810040,186,Qaeda agents.,the leader.,<*2*> ... assassinated by <*3*>.,"-LRB- However , the leader of the Northern Alliance was assassinated by Qaeda agents on Sept. 9 . -RRB-.",294
137,23810040,040,Mr. Bush.,Sept..,was traveling.,Mr. Bush was traveling on Sept. 10 and did not receive it ..,295
138,23810040,090,The first report.,Saudi Arabia [SAU].,examined.,The first report examined Saudi Arabia 's policies toward militants who left home to wage holy war ..,299
139,23810040,190,A domestic car bombing.,.,<and> ... kills.,1995 A domestic car bombing kills 168 in Oklahoma City and a cult releases lethal gas in Tokyo 's subway system ; terrorism becomes White House priority ..,312
140,23810040,010,C.I.A.,document.,circulates.,"1996 C.I.A circulates document accusing bin Laden of financing Islamic militants worldwide and implicating him in deadly attacks on Americans , including the assault by Somali militiamen on servicemen during a peace keeping mission ..",314
141,23810040,050,State Department.,a ... turnover.,.,"State Department tries to orchestrate a turnover of bin Laden , living in exile in Sudan , to Saudi Arabia , his homeland , or to Egypt , whose president survived a bin Laden-financed assassination ..",315
142,23810040,183,TWA Flight.,Long Island.,explodes.,"TWA Flight 800 explodes over Long Island , killing 230 ..",318
143,23810040,041,Gore report.,airlines ... intelligence <AIRLINES> <INTELLIGENCE> agencies [*2*BUSSPY].,.,1997 Gore report calls for airlines and intelligence agencies to share a database to track terrorists ..,322
144,23810040,010,Al Qaeda defector [IMGMUSALQOPP].,investigators.,tells.,"Al Qaeda defector tells investigators bin Laden is training operatives to overthrow Middle East governments , attack America and other Western countries and acquire a nuclear bomb ..",324
145,23810040,183,Truck bombs.,American embassies [USAGOV].,<&WEAPON> ... detonated.,"1998 Truck bombs detonated outside American embassies in Nairobi and Dar es Salaam , Tanzania , kill 224 and injure 5,000 ..",327
146,23810040,020,Pentagon [USAMIL].,an ... invasion.,proposes.,Pentagon is asked to send commandos to Afghanistan but instead proposes an invasion ..,333
147,23810040,100,The White House [USAGOV].,hunt.,demands.,"The White House demands hunt for sleeper cells , more federal-local task forces and visa reviews ..",336
148,23810040,060,spy plane <UNARMED> <SPY> <PLANE> [*1*MILSPY].,video.,provides.,Unarmed spy plane over Afghanistan provides video of bin Laden and aides ; C.I.A. presses for adding a missile ..,338
149,23810040,190,Explosive-laden dinghy.,sailors.,explodes ... killing.,"Explosive-laden dinghy piloted by two suicide bombers explodes next to the American destroyer Cole in Yemen , killing 17 sailors ..",339
150,23810040,014,.,a ... comprehensive plan.,draft ... plan.,2001 On President Bush 's orders advisors draft a comprehensive plan including a $ 200 million C.I.A. program to arm enemies of the Taliban ..,341
