v1,id_string,story_date,year,month,day,source,source_root,source_agent,source_others,target,target_root,target_agent,target_others,code,root_code,quad_class,goldstein,joined_issues,lat,lon,placename,statename,countryname,documentcountryname,ids,urls,sources,text,web_url,aid
18,3586472_v0.0.0,19811104,1981,11,04,FRA,FRA,,,FRAGOV,FRA,GOV,,030,03,1,4.0,,48.85341,2.3488,Paris,Ãle-de-France,FRA,,5e42d9d9367baed034345546_28,---,NYT,"France 's role in Africa will continue , with some change in emphasis , President Francois Mitterrand and other French officials pledged at the start of a meeting in Paris of the leaders of 30 French-speaking African countries .",---,22392908
19,3586473_v0.0.0,20010720,2001,07,20,CAN,CAN,,,ITA,ITA,,,040,04,1,1.0,,54.75844,-2.69531,United Kingdom of Great Britain and Northern Ireland,,GBR,,5e42d9d9367baed0343455b9_14,---,NYT,"The leaders of the industrialized nations -- Britain , Canada , France , Germany , Italy , Japan and the United States -- meet on Friday .",---,23787819
20,3586474_v0.0.0,20031006,2003,10,06,PSE,PSE,,,PSE,PSE,,,1724,17,4,-5.0,,31.5,34.75,State of Israel,,ISR,,5e42d9d9367baed0343455d6_0,---,NYT,"Facing renewed threats from Israel , the Palestinian leader , Yasir Arafat declared a state of emergency in Palestinian areas on Sunday and installed a new government by decree .",---,23932147
21,3586475_v0.0.0,20040129,2004,01,29,EGY,EGY,,,PSE,PSE,,,040,04,1,1.0,,,,,,,,5e42d9d9367baed0343455e1_32,---,NYT,"Senior Egyptian officials met Palestinian leaders on Tuesday , and two American envoys , John Wolf and David F. Satterfield , visited Mr. Qurei on Wednesday .",---,23972465
22,3586476_v0.0.0,19990805,1999,08,05,DEU,DEU,,,GBR,GBR,,,172,17,4,-5.0,,51.5,10.5,Federal Republic of Germany,,DEU,,5e42d9d9367baed0343455a8_21,---,NYT,"Celestine Bohlen -LRB- NYT -RRB- GERMANY : NO BRITISH BEEF -- Germany said it would continue to ban sales of beef imported from Britain because of fears of Creutzfeld-Jakob , or `` mad cow '' disease , despite the European Union 's decision to lift an embargo imposed in 1996 .",---,23684648
23,3586477_v0.0.0,20041115,2004,11,15,---REB,,REB,,USA,USA,,,190,19,4,-10.0,,36.335,43.11889,Mosul,Muá¸©ÄfazÌ§at NÄ«nawÃ¡,IRQ,,5e42d9d9367baed0343455e4_33,---,NYT,"In western Mosul , guerrillas poured out of three cars and ambushed an American patrol , said Dhia Muhammad , 35 , a taxi driver .",---,23989893
24,3586478_v0.0.0,20020506,2002,05,06,PSE,PSE,,,PSE,PSE,,,080,08,2,5.0,,,,,,,,5e42d9d9367baed0343455cd_21,---,NYT,"Palestinian officials have pointed out that Mr. Arafat approved payments to hundreds of Fatah members , and that weeks and sometimes months separate the payments from the attacks .",---,23885794
25,3586479_v0.0.0,20050311,2005,03,11,---MUS,,,MUS,---REB,,REB,,060,06,2,6.0,,36.335,43.11889,Mosul,Muá¸©ÄfazÌ§at NÄ«nawÃ¡,IRQ,,5e42d9d9367baed0343455f1_12,---,NYT,"Sunni Arabs , who live mostly in western Mosul , are believed to lead the city 's insurgency .",---,24035403
26,3586480_v0.0.0,19900512,1990,05,12,---LEG,,,LEG,---CHRGOV,,,CHR;GOV,112,11,3,-2.0,"ID_DEMOCRACY,1",,,,,,,5e42d9d9367baed034345588_7,---,NYT,"But Gregor Gysi , a member of Parliament and head of the former Communist Party , blamed the Christian Democratic Government of Prime Minister Lothar de Maiziere for the uncertainty among East Germans .",---,23033743
27,3586481_v0.0.0,20040506,2004,05,06,USA,USA,,,IRQOCCREBUAF,IRQ,,OCC;REB;UAF,190,19,4,-10.0,"ID_EXTREMISM,1",32.61603,44.02488,Karbala,Muá¸©ÄfazÌ§at KarbalÄâ,IRQ,,5e42d9d9367baed0343455df_49,---,NYT,"<break/> <umient> <uopts> <ety> 39 </ety> <enum> 0 </enum> </uopts> <abstext> United States forces began an assault on Karbala late Tuesday , with the objective of driving out a rebel militia led by the radical cleric Moktada al-Sadr .",---,23971704
28,3586482_v0.0.0,20020329,2002,03,29,PSE,PSE,,,ISRCVLMIL,ISR,CVL,MIL,015,01,0,0.0,,,,,,,,5e42d9d9367baed0343455d2_43,---,NYT,"But many Palestinian leaders , including the top officials of Mr. Arafat 's Fatah faction and even his security chiefs , have said that Palestinians should continue attacking Israeli settlers and soldiers as long as the Israelis remain in the West Bank and Gaza Strip .",---,23890419
29,3586483_v0.0.0,20050712,2005,07,12,---REB,,REB,,IRQOCC,IRQ,,OCC,190,19,4,-10.0,,33.34058,44.40088,Baghdad,,IRQ,,5e42d9d9367baed0343455f9_3,---,NYT,"However , insurgents hit an Iraqi force hard in Khalis , 45 miles north of Baghdad .",---,24053883
30,3586484_v0.0.0,19810319,1981,03,19,USAGOV,USA,GOV,,CUBMIL,CUB,MIL,,120,12,3,-4.0,,22.0,-79.5,Republic of Cuba,,CUB,,5e42d9d9367baed034345544_9,---,NYT,"The use of military force against Cuba has not been ruled out in contingency plans developed by the Reagan Administration for stemming the flow of arms to El Salvador , according to Walter J. Stoessel Jr. , the Undersecretary of State for Political Affairs .",---,22381346
31,3586485_v0.0.0,20050712,2005,07,12,USAMIL,USA,MIL,,---REB,,REB,,190,19,4,-10.0,,36.37913,42.44806,Tall âAfar,Muá¸©ÄfazÌ§at NÄ«nawÃ¡,IRQ,,5e42d9d9367baed0343455f9_0,---,NYT,"American soldiers killed 14 insurgents in two days of fighting in the strategic northern city of Tal Afar , the American military said Monday , and gunmen killed 10 Iraqi soldiers in the central Sunni heartland .",---,24053883
32,3586486_v0.0.0,19941028,1994,10,28,---PPL,,,PPL,---CVL,,CVL,,171,17,4,-9.2,,33.0,44.0,Republic of Iraq,,IRQ,,5e42d9d9367baed034345591_1,---,NYT,"Security officials said the man tried to commandeer the airliner , a Tu-154 , at Vnukovo airport , demanding a $ 2 million ransom and a pistol , a radio and a map of Iran and Iraq .",---,23360859
33,3586487_v0.0.0,20050301,2005,03,01,---MUS,,,MUS,---REB,,REB,,060,06,2,6.0,"ELECTION,1",,,,,,,5e42d9d9367baed0343455ef_28,---,NYT,"The insurgency is led by Sunni Arabs , who dominated the government under Mr. Hussein and largely boycotted the national elections in January .",---,24033916
34,3586488_v0.0.0,19941028,1994,10,28,---PPL,,,PPL,---PPL,,,PPL,190,19,4,-10.0,"SUICIDE_ATTACK,1;SECURITY_SERVICES,1",42.97638,47.50236,Makhachkala,Dagestan,RUS,,5e42d9d9367baed034345591_2,---,NYT,"In southern Russia , a man who seized a small passenger plane in Makhachkala blew himself up when police commandos stormed the plane in thick fog at dawn today .",---,23360859
35,3586489_v0.0.0,20020403,2002,04,03,ISRMIL,ISR,MIL,,PSE,PSE,,,090,09,3,-2.0,,-28.23078,28.30707,Bethlehem,Free State,ZAF,,5e42d9d9367baed0343455d1_9,---,NYT,"Israeli troops swept into Bethlehem before dawn , killing seven Palestinians .",---,23889779
36,3586490_v0.0.0,19990623,1999,06,23,---OPP,,OPP,,SCGSRB,SCG,,SRB,020,02,0,3.0,"ID_DEMOCRACY,1",43.72583,20.68944,Kraljevo,,SRB,,5e42d9d9367baed0343455ab_6,---,NYT,"An umbrella group of democratic opposition parties , the Alliance for Change , has called for demonstrations this Saturday in central Serbian towns like Kraljevo and Cacak , which is run by the opposition .",---,23689587
37,3586491_v0.0.0,20050305,2005,03,05,UKRMED,UKR,MED,,UKR,UKR,,,030,03,1,4.0,,49.0,32.0,Ukraine,,UKR,,5e42d9d9367baed0343455f0_19,---,NYT,"Ukraine 's 1 +1 television network reported that Mr. Kuchma had said he would cut short his vacation and return to Ukraine on Saturday , according to news agencies .",---,24034475
38,3586492_v0.0.0,19970910,1997,09,10,PSEREBHMSCOP,PSE,REB,HMS;COP,PSEREBHMSCOP,PSE,REB,HMS;COP,173,17,4,-5.0,"NAMED_TERROR_GROUP,1;SECURITY_SERVICES,1",31.5,34.46667,Gaza,Gaza Strip,PSE,,5e42d9d9367baed034345598_3,---,NYT,Hamas members and a Palestinian security officer in Gaza said that the police had rounded up as many as 200 members of the movement for questioning overnight Monday and that 50 to 100 of them had been jailed .,---,23547196
39,3586493_v0.0.0,19960926,1996,09,26,PSEGOV,PSE,GOV,,ISR,ISR,,,010,01,0,0.0,,,,,,,,5e42d9d9367baed034345593_34,---,NYT,"Palestinians and some Western diplomats subsequently asserted that the Israelis had crossed into Palestinian territory , a charge the Israelis denied .",---,23498517
40,3586494_v0.0.0,19840625,1984,06,25,FRAGOVMED,FRA,GOV,MED,---GOV,,GOV,,012,01,0,-0.4,,,,,,,,5e42d9d9367baed034345557_32,---,NYT,Prime Minister Exasperated On television Sunday Prime Minister Pierre Mauroy expressed his Government 's exasperation .,---,22605061
41,3586495_v0.0.0,19970910,1997,09,10,ISR,ISR,,,ISR,ISR,,,173,17,4,-5.0,,31.5,34.75,State of Israel,,ISR,,5e42d9d9367baed034345598_22,---,NYT,Israel had submitted lists of militants to the Palestinian Authority and demanded that they be arrested .,---,23547196
42,3586496_v0.0.0,20010720,2001,07,20,GBR,GBR,,,ITA,ITA,,,040,04,1,1.0,,54.75844,-2.69531,United Kingdom of Great Britain and Northern Ireland,,GBR,,5e42d9d9367baed0343455b9_14,---,NYT,"The leaders of the industrialized nations -- Britain , Canada , France , Germany , Italy , Japan and the United States -- meet on Friday .",---,23787819
43,3586497_v0.0.0,19811213,1981,12,13,---CHR,,,CHR,---LEG,,,LEG,113,11,3,-2.0,,,,,,,,5e42d9d9367baed034345545_53,---,NYT,"Meanwhile , Archbishop Glemp lobbied with Parliament against invoking emergency powers .",---,22386606
44,3586498_v0.0.0,20020221,2002,02,21,COLREB,COL,REB,,COLREB,COL,REB,,170,17,4,-7.0,,,,,,,,5e42d9d9367baed0343455c4_0,---,NYT,"Colombian guerrillas hijacked a domestic flight today , forcing it down on a remote highway in the south in order to kidnap a senior senator who had been on board .",---,23855995
45,3586499_v0.0.0,20050414,2005,04,14,USAGOVMIL,USA,GOV,MIL,IRQOCC,IRQ,,OCC,036,03,1,4.0,,33.0,44.0,Republic of Iraq,,IRQ,,5e42d9d9367baed0343455f4_45,---,NYT,"On Tuesday , Secretary of Defense Donald H. Rumsfeld met with Iraqi leaders in the capital .",---,24040666
46,3586500_v0.0.0,20010720,2001,07,20,DEU,DEU,,,USA,USA,,,040,04,1,1.0,,54.75844,-2.69531,United Kingdom of Great Britain and Northern Ireland,,GBR,,5e42d9d9367baed0343455b9_14,---,NYT,"The leaders of the industrialized nations -- Britain , Canada , France , Germany , Italy , Japan and the United States -- meet on Friday .",---,23787819
47,3586501_v0.0.0,20060118,2006,01,18,USAMIL,USA,MIL,,IRQOCCMUS,IRQ,,OCC;MUS,190,19,4,-10.0,,33.34058,44.40088,Baghdad,Muá¸©ÄfazÌ§at BaghdÄd,IRQ,,5e42d9d9367baed0343455ec_16,---,NYT,"The American military raided a hard line Sunni mosque in Baghdad a day after Ms. Carroll was kidnapped , setting off angry demonstrations by hundreds of Iraqis .",---,24022493
48,3586502_v0.0.0,20011231,2001,12,31,PSE,PSE,,,PSE,PSE,,,183,18,4,-10.0,"SUICIDE_ATTACK,1",31.76904,35.21633,Jerusalem,Jerusalem,ISR,,5e42d9d9367baed0343455a3_1,---,NYT,"Two Palestinian bombers blew themselves up in a pedestrian mall in Jerusalem , killing 11 people .",---,23809852
49,3586503_v0.0.0,20020419,2002,04,19,ISRGOV,ISR,GOV,,PSEMIL,PSE,MIL,,100,10,3,-5.0,,31.66667,35.25,West Bank,West Bank,PSE,,5e42d9d9367baed0343455d0_39,---,NYT,"But he does know that as a result of the attack that killed them , Prime Minister Ariel Sharon ordered a major military assault on the West Bank .",---,23887704
50,3586504_v0.0.0,20000610,2000,06,10,ERI,ERI,,,IGOAFROAU,IGO,,AFR;OAU,032,03,1,4.5,,9.0,39.5,Federal Democratic Republic of Ethiopia,,ETH,,5e42d9d9367baed0343455b1_0,---,NYT,"AFRICA ETHIOPIA , ERITREA : POSSIBLE PACTEritrea said it had accepted ceasefire proposals from the Organization of African Unity to end its two-year border war with Ethiopia , which is expected to respond today .",---,23736666
51,3586505_v0.0.0,19870726,1987,07,26,LBN,LBN,,,CHE,CHE,,,138,13,3,-7.0,,33.88894,35.49442,Beirut,Beyrouth,LBN,,5e42d9d9367baed034345573_24,---,NYT,"ARABS WARN SWISS ON HIJACKER BEIRUT , Lebanon , July 25 -LRB- Reuters -RRB- - A previously unknown group threatened today to strike at Swiss interests if Switzerland handed over to France the hijacker who killed a French passenger aboard the Air Afriqe DC-10 .",---,22824014
52,3586506_v0.0.0,19970429,1997,04,29,USAEDUJUD,USA,EDU,JUD,USAEDUJUD,USA,EDU,JUD,030,03,1,4.0,"POSTSECONDARY_EDUCATION,1",,,,,,,5e42d9d9367baed03434559b_33,---,NYT,"Ralph Brock , a lawyer and lecturer at Texas Tech University who has written about the Republic group , said he believed that Mr. McLaren 's group was prepared to act on its belligerent rhetoric .",---,23572558
53,3586507_v0.0.0,20041115,2004,11,15,---UAF,,,UAF,---COP,,COP,,190,19,4,-10.0,,,,,,,,5e42d9d9367baed0343455e4_20,---,NYT,"A group of gunmen raided a prison and let out all the prisoners before bombing the building , he said .",---,23989893
54,3586508_v0.0.0,20010720,2001,07,20,USA,USA,,,CAN,CAN,,,040,04,1,1.0,,54.75844,-2.69531,United Kingdom of Great Britain and Northern Ireland,,GBR,,5e42d9d9367baed0343455b9_14,---,NYT,"The leaders of the industrialized nations -- Britain , Canada , France , Germany , Italy , Japan and the United States -- meet on Friday .",---,23787819
55,3586509_v0.0.0,20010720,2001,07,20,ITA,ITA,,,CAN,CAN,,,040,04,1,1.0,,54.75844,-2.69531,United Kingdom of Great Britain and Northern Ireland,,GBR,,5e42d9d9367baed0343455b9_14,---,NYT,"The leaders of the industrialized nations -- Britain , Canada , France , Germany , Italy , Japan and the United States -- meet on Friday .",---,23787819
56,3586510_v0.0.0,19880521,1988,05,21,TWNCVL,TWN,CVL,,---AGR,,,AGR,040,04,1,1.0,"AGRICULTURE,1",25.04776,121.53185,Taipei,Taipei,TWN,,5e42d9d9367baed03434557e_8,---,NYT,Three thousand farmers from across the island were joined by Taipei residents and members of the opposition .,---,22922787
57,3586511_v0.0.0,19990414,1999,04,14,---COP,,COP,,COLREBUAF,COL,REB,UAF,111,11,3,-2.0,"NAMED_TERROR_GROUP,2;SECURITY_SERVICES,1",,,,,,,5e42d9d9367baed0343455a1_4,---,NYT,"The police blamed a combined force of the National Liberation Army and the Revolutionary Armed Forces of Colombia , the hemisphere 's oldest and largest rebel groups , for the hijacking .",---,23657685
58,3586512_v0.0.0,19960926,1996,09,26,ISR,ISR,,,---GOV,,GOV,,010,01,0,0.0,"VIOLENT_UNREST,1;SECURITY_SERVICES,1",31.5,34.75,State of Israel,,ISR,,5e42d9d9367baed034345593_11,---,NYT,"The Prime Minister 's accusation that the clashes were incited was echoed by other Israeli officials who said that Palestinian leaders had issued fiery statements about the tunnel , and that Yasir Arafat , president of the Palestinian Authority , had ordered his police not to break up the protests .",---,23498517
59,3586513_v0.0.0,19861228,1986,12,28,---OPP,,OPP,,SUN,SUN,,,105,10,3,-5.0,,33.72148,73.04329,Islamabad,IslÄmÄbÄd Capital Territory,PAK,,5e42d9d9367baed03434556d_1,---,NYT,"About 1,000 exiles marched through Islamabad shouting slogans and demanding the withdrawal of Soviet forces .",---,22769770
60,3586514_v0.0.0,20000610,2000,06,10,---COP,,COP,,---PPL,,,PPL,173,17,4,-5.0,"SUICIDE_ATTACK,1;SECURITY_SERVICES,2",6.93194,79.84778,Colombo,Western Province,LKA,,5e42d9d9367baed0343455b1_23,---,NYT,"-LRB- Reuters -RRB- <break/> SRI LANKA : 60 HELD IN BLASTThe police detained more than 60 people for questioning after a suicide bomber killed a government minister and 22 other people in Colombo , a senior police official said .",---,23736666
61,3586515_v0.0.0,20021010,2002,10,10,PSEMIL,PSE,MIL,,EGY,EGY,,,171,17,4,-9.2,,31.28781,34.23807,Rafaá¸©,,EGY,,5e42d9d9367baed0343455c8_16,---,NYT,"The clashes between Israeli soldiers and Palestinians in the Gaza Strip took place in Rafah , near the border with Egypt , and left two youths , 16 and 17 , dead .",---,23873100
62,3586516_v0.0.0,19871130,1987,11,30,---MED,,MED,,KORELI,KOR,,ELI,010,01,0,0.0,"ID_DEMOCRACY,1",,,,,,,5e42d9d9367baed034345574_55,---,NYT,"`` The support of the people is for the Reunification Democratic Party only , '' the spokesman said , referring to Kim Young Sam 's party .",---,22830800
63,3586517_v0.0.0,20010720,2001,07,20,ITA,ITA,,,FRA,FRA,,,040,04,1,1.0,,54.75844,-2.69531,United Kingdom of Great Britain and Northern Ireland,,GBR,,5e42d9d9367baed0343455b9_14,---,NYT,"The leaders of the industrialized nations -- Britain , Canada , France , Germany , Italy , Japan and the United States -- meet on Friday .",---,23787819
64,3586518_v0.0.0,20020420,2002,04,20,---MIL,,MIL,,---PPL,,,PPL,190,19,4,-10.0,,,,,,,,5e42d9d9367baed0343455c7_11,---,NYT,"Both men were killed by soldiers , the Israeli military said .",---,23862466
65,3586519_v0.0.0,19960212,1996,02,12,KORCVL,KOR,CVL,,KOR,KOR,,,141,14,4,-6.5,,37.566,126.9784,Seoul,Seoul,KOR,,5e42d9d9367baed034345597_0,---,NYT,"South Korean citizen groups held anti-Japanese rallies in Seoul on Feb 11 , 1996 to protest renewed Japanese claims to two islands .",---,23528688
66,3586520_v0.0.0,20051114,2005,11,14,IGOEUREEC,IGO,,EUR;EEC,IGOEUREEC,IGO,,EUR;EEC,010,01,0,0.0,,9.0,39.5,Federal Democratic Republic of Ethiopia,,ETH,,5e42d9d9367baed0343455fe_60,---,NYT,"`` Another bloodbath is taking place in Ethiopia , '' Ana Gomes , the European Union 's chief election observer in the May polling , said in a recent letter urging colleagues on the European Parliament to end their chummy approach toward Mr. Meles .",---,24070997
67,3586521_v0.0.0,20010506,2001,05,06,---GOV,,GOV,,---MEDCOP,,MED,COP,010,01,0,0.0,"SECURITY_SERVICES,2",,,,,,,5e42d9d9367baed0343455be_20,---,NYT,"After the rally , Mayor Sara B. Bost told reporters in front of police headquarters that the relationship between the police and the community have been strained for some time in this crowded city of 61,000 residents , many of whom are poor and black .",---,23828465
68,3586522_v0.0.0,19880208,1988,02,08,---PPL,,,PPL,---BUS,,BUS,,010,01,0,0.0,,,,,,,,5e42d9d9367baed03434557b_25,---,NYT,"`` The people who are in trouble are the ones who make the noise , but most people sit back and say , ` Attaboy , Joe , ' '' said Buddy Parker , a local businessman .",---,22900810
69,3586523_v0.0.0,19810207,1981,02,07,---MUSRAD,,,MUS;RAD,IRN,IRN,,,190,19,4,-10.0,"ID_EXTREMISM,1",35.69439,51.42151,TehrÄn,OstÄn-e TehrÄn,IRN,,5e42d9d9367baed034345548_0,---,NYT,"International Fighting broke out in Teheran between Iranian leftists , who were holding a demonstration that had been banned by the Government , and Islamic right wing extremists .",---,22444089
70,3586524_v0.0.0,19860524,1986,05,24,---GOV,,GOV,,SYRGOV,SYR,GOV,,041,04,1,1.0,,35.0,38.0,Syrian Arab Republic,,SYR,,5e42d9d9367baed034345570_24,---,NYT,"In a related development , the Foreign Ministry confirmed today that Mr. Chirac spoke by telephone late Thursday night or early this morning with President Hafez al-Assad of Syria .",---,22796662
71,3586525_v0.0.0,19990709,1999,07,09,---BUS,,BUS,,---MIL,,MIL,,150,15,4,-7.2,,,,,,,,5e42d9d9367baed0343455a9_30,---,NYT,"A small-time trader , he had been called up into the army as a reservist for the last months of the war .",---,23687509
72,3586526_v0.0.0,20050712,2005,07,12,---HLH,,,HLH,---PPL,,,PPL,015,01,0,0.0,,,,,,,,5e42d9d9367baed0343455f9_17,---,NYT,"However , the doctor said one of the men was killed and the other nine were detained after the troops came under fire Sunday in Shula .",---,24053883
73,3586527_v0.0.0,20031006,2003,10,06,PSEGOV,PSE,GOV,,PSE,PSE,,,1724,17,4,-5.0,,31.5,34.75,State of Israel,,ISR,,5e42d9d9367baed0343455d6_0,---,NYT,"Facing renewed threats from Israel , the Palestinian leader , Yasir Arafat declared a state of emergency in Palestinian areas on Sunday and installed a new government by decree .",---,23932147
74,3586528_v0.0.0,19830512,1983,05,12,---EDU,,EDU,,FRA,FRA,,,141,14,4,-6.5,"STUDENTS,1",43.55135,7.01275,Cannes,Provence-Alpes-CÃ´te d'Azur,FRA,,5e42d9d9367baed03434554e_14,---,NYT,"The shouting students also marched through the center of Cannes , setting fire to tires , and briefly blocked the Cannes-Antibes highway .",---,22561249
75,3586529_v0.0.0,20011230,2001,12,30,USAMIL,USA,MIL,,USAGOV,USA,GOV,,014,01,0,0.0,,,,,,,,5e42d9d9367baed0343455bc_202,---,NYT,"Pentagon planners also considered a White House request to send a hunter team of commandos , small enough to avoid detection , the officer said .",---,23810040
76,3586530_v0.0.0,19991015,1999,10,15,---OPPEDUCVL,,OPP,EDU;CVL,IDNELI,IDN,,ELI,170,17,4,-7.0,"STUDENTS,1",,,,,,,5e42d9d9367baed0343455a5_15,---,NYT,It was here that the spectacle of thousands of student demonstrators and the defection of key political supporters helped force Mr. Suharto 's resignation .,---,23675320
