""	"id_string"	"story_date"	"year"	"month"	"day"	"source"	"source_root"	"source_agent"	"source_others"	"target"	"target_root"	"target_agent"	"target_others"	"code"	"root_code"	"quad_class"	"goldstein"	"joined_issues"	"lat"	"lon"	"placeName"	"stateName"	"countryName"	"documentCountryName"	"ids"	"urls"	"sources"	"text"	"web_url"	"aid"
"10"	"3587446_v0.0.0"	"19830502"	"1983"	"05"	"02"	"---COP"	""	"COP"	""	"---CIV"	""	""	"CIV"	"100"	"10"	"3"	"-5.0"	"SECURITY_SERVICES,1"	""	""	""	""	""	""	"5e29e62836b9743750f3c29d_36"	"---"	"NYT"	"After nearly an hour the police ordered the crowd to disperse ."	"---"	"22563042"
"11"	"3587447_v0.0.0"	"20020403"	"2002"	"04"	"03"	"PSE"	"PSE"	""	""	"PSE"	"PSE"	""	""	"030"	"03"	"1"	"4.0"	""	""	""	""	""	""	""	"5e29e62836b9743750f3c31c_29"	"---"	"NYT"	"Palestinians believe that it is intended to destroy their hopes for statehood ."	"---"	"23889779"
"12"	"3587448_v0.0.0"	"20050414"	"2005"	"04"	"14"	"---COP"	""	"COP"	""	"IRQOCC"	"IRQ"	""	"OCC"	"190"	"19"	"4"	"-10.0"	""	"35.46806"	"44.39222"	"Kirkuk"	"Muḩāfaz̧at Kirkūk"	"IRQ"	""	"5e29e62836b9743750f3c33f_48"	"---"	"NYT"	"-LRB- Photo by Thaier al-Sudani/Reuters -RRB- ; Iraqis at the funeral of police officers killed yesterday near Kirkuk when a bomb they were trying to defuse detonated on an oil pipeline ."	"---"	"24040666"
"13"	"3587449_v0.0.0"	"20010720"	"2001"	"07"	"20"	"ITA"	"ITA"	""	""	"JPN"	"JPN"	""	""	"040"	"04"	"1"	"1.0"	""	"35.68536"	"139.75309"	"Japan"	""	"JPN"	""	"5e29e62836b9743750f3c304_14"	"---"	"NYT"	"The leaders of the industrialized nations -- Britain , Canada , France , Germany , Italy , Japan and the United States -- meet on Friday ."	"---"	"23787819"
"14"	"3587450_v0.0.0"	"20050414"	"2005"	"04"	"14"	"IMGMUSALQ"	"IMG"	""	"MUS;ALQ"	"---MUSMED"	""	""	"MUS;MED"	"015"	"01"	"0"	"0.0"	"NAMED_TERROR_GROUP,1"	"33.0"	"44.0"	"Republic of Iraq"	""	"IRQ"	""	"5e29e62836b9743750f3c33f_39"	"---"	"NYT"	"Al Qaeda in Mesopotamia , the organization run by the Jordanian militant Abu Musab al-Zarqawi , claimed responsibility for the attack in a statement posted on Islamist Internet sites ."	"---"	"24040666"
"15"	"3587451_v0.0.0"	"19990803"	"1999"	"08"	"03"	"IGOUNO"	"IGO"	""	"UNO"	"TMPOCCCVL"	"TMP"	""	"OCC;CVL"	"010"	"01"	"0"	"0.0"	"ELECTION,1"	"-8.83333"	"125.75"	"Democratic Republic of Timor-Leste"	""	"TLS"	""	"5e29e62836b9743750f3c2ed_6"	"---"	"NYT"	"Seth Mydans -LRB- NYT -RRB- INDONESIA : GOOD MARKS FOR TIMOR REGISTRATION -- With three days remaining in the process , the United Nations declared voter registration a success in the disputed territory of East Timor ."	"---"	"23663552"
"16"	"3587452_v0.0.0"	"20020708"	"2002"	"07"	"08"	"---PPL"	""	""	"PPL"	"---PPL"	""	""	"PPL"	"010"	"01"	"0"	"0.0"	"SUICIDE_ATTACK,1"	""	""	""	""	""	""	"5e29e62836b9743750f3c30d_62"	"---"	"NYT"	"A charming young man with bleached blonde hair said , `` Goodbye , and I will not see you later , '' and blew himself up ."	"---"	"23851804"
"17"	"3587453_v0.0.0"	"20050305"	"2005"	"03"	"05"	"---COPGOV"	""	"COP"	"GOV"	"---MED"	""	"MED"	""	"010"	"01"	"0"	"0.0"	""	""	""	""	""	""	""	"5e29e62836b9743750f3c33b_26"	"---"	"NYT"	"`` We can say preliminarily that this was a suicide , '' the deputy interior minister , Petro Koliada , said in remarks reported by news agencies ."	"---"	"24034475"
"18"	"3587454_v0.0.0"	"19990805"	"1999"	"08"	"05"	"GBR"	"GBR"	""	""	"GBR"	"GBR"	""	""	"172"	"17"	"4"	"-5.0"	""	"51.5"	"10.5"	"Federal Republic of Germany"	""	"DEU"	""	"5e29e62836b9743750f3c2f3_21"	"---"	"NYT"	"Celestine Bohlen -LRB- NYT -RRB- GERMANY : NO BRITISH BEEF -- Germany said it would continue to ban sales of beef imported from Britain because of fears of Creutzfeld-Jakob , or `` mad cow '' disease , despite the European Union 's decision to lift an embargo imposed in 1996 ."	"---"	"23684648"
"19"	"3587455_v0.0.0"	"19880502"	"1988"	"05"	"02"	"---PPL"	""	""	"PPL"	"POLCOP"	"POL"	"COP"	""	"190"	"19"	"4"	"-10.0"	"LABOR_UNIONS,1;SECURITY_SERVICES,1"	"54.35205"	"18.64637"	"Gdańsk"	"Województwo Pomorskie"	"POL"	""	"5e29e62836b9743750f3c2ca_1"	"---"	"NYT"	"About 500 people clashed with the police in the northern city of Gdansk today , and official May Day parades in several other Polish cities were countered by demonstrators bearing banners of the banned Solidarity trade union ."	"---"	"22925384"
"20"	"3587456_v0.0.0"	"20010506"	"2001"	"05"	"06"	"---GOV"	""	"GOV"	""	"---GOV"	""	"GOV"	""	"021"	"02"	"0"	"3.4"	""	""	""	""	""	""	""	"5e29e62836b9743750f3c309_21"	"---"	"NYT"	"Mayor Bost reiterated that she had asked the Justice Department to review Monday 's shooting , as well as departmental policies , to determine how similar incidents can be avoided and how relations between the department and the community can be improved ."	"---"	"23828465"
"21"	"3587457_v0.0.0"	"20020620"	"2002"	"06"	"20"	"---PPL"	""	""	"PPL"	"ISR"	"ISR"	""	""	"171"	"17"	"4"	"-9.2"	""	""	""	""	""	""	""	"5e29e62836b9743750f3c30a_2"	"---"	"NYT"	"A million Israeli Arabs are caught in a conflict between their country and their people ."	"---"	"23849693"
"22"	"3587458_v0.0.0"	"20011230"	"2001"	"12"	"30"	"---GOV"	""	"GOV"	""	"IMGMUSALQSPY"	"IMG"	""	"MUS;ALQ;SPY"	"150"	"15"	"4"	"-7.2"	"NAMED_TERROR_GROUP,1"	""	""	""	""	""	""	"5e29e62836b9743750f3c307_14"	"---"	"NYT"	"And though the White House undertook a covert campaign to kill Mr. bin Laden , the government never mustered the critical mass of political will and on-the-ground intelligence for the kind of offensive against Al Qaeda it unleashed this fall ."	"---"	"23810040"
"23"	"3587459_v0.0.0"	"20040211"	"2004"	"02"	"11"	"USAMILREB"	"USA"	"MIL"	"REB"	"---COP"	""	"COP"	""	"015"	"01"	"0"	"0.0"	"SUICIDE_ATTACK,1;SECURITY_SERVICES,1"	""	""	""	""	""	""	"5e29e62836b9743750f3c32b_6"	"---"	"NYT"	"The local police chief said the attack was carried out by a suicide bomber , through the American military could not confirm that ."	"---"	"23971884"
"24"	"3587460_v0.0.0"	"20050111"	"2005"	"01"	"11"	"USAGOV"	"USA"	"GOV"	""	"USAGOV"	"USA"	"GOV"	""	"030"	"03"	"1"	"4.0"	""	"47.50012"	"-120.50147"	"Washington"	"Washington"	"USA"	""	"5e29e62836b9743750f3c338_6"	"---"	"NYT"	"In a sign that Mr. Abbas 's victory could usher in a new round of diplomacy , President Bush said he was prepared to meet the new Palestinian leader in Washington -- a step he refused to take with Yasir Arafat ."	"---"	"24026263"
"25"	"3587461_v0.0.0"	"20020403"	"2002"	"04"	"03"	"ISRMIL"	"ISR"	"MIL"	""	"PSE"	"PSE"	""	""	"090"	"09"	"3"	"-2.0"	""	"-28.23078"	"28.30707"	"Bethlehem"	"Free State"	"ZAF"	""	"5e29e62836b9743750f3c31c_9"	"---"	"NYT"	"Israeli troops swept into Bethlehem before dawn , killing seven Palestinians ."	"---"	"23889779"
"26"	"3587462_v0.0.0"	"20020420"	"2002"	"04"	"20"	"---MIL"	""	"MIL"	""	"---PPL"	""	""	"PPL"	"190"	"19"	"4"	"-10.0"	""	""	""	""	""	""	""	"5e29e62836b9743750f3c312_11"	"---"	"NYT"	"Both men were killed by soldiers , the Israeli military said ."	"---"	"23862466"
"27"	"3587463_v0.0.0"	"20051027"	"2005"	"10"	"27"	"PSE"	"PSE"	""	""	"PSE"	"PSE"	""	""	"183"	"18"	"4"	"-10.0"	"SUICIDE_ATTACK,2;SECURITY_SERVICES,1"	"32.44192"	"34.9039"	"H̱adera"	"Haifa"	"ISR"	""	"5e29e62836b9743750f3c347_0"	"---"	"NYT"	"A Palestinian suicide bomber blew himself up Wednesday at a falafel stand in an outdoor market in Hadera , an Israeli coastal town , killing five other people and wounding more than two dozen , the Israeli police said ."	"---"	"24068845"
"28"	"3587464_v0.0.0"	"20050311"	"2005"	"03"	"11"	"---MUS"	""	""	"MUS"	"---REB"	""	"REB"	""	"060"	"06"	"2"	"6.0"	""	"36.335"	"43.11889"	"Mosul"	"Muḩāfaz̧at Nīnawá"	"IRQ"	""	"5e29e62836b9743750f3c33c_12"	"---"	"NYT"	"Sunni Arabs , who live mostly in western Mosul , are believed to lead the city 's insurgency ."	"---"	"24035403"
"29"	"3587465_v0.0.0"	"20040408"	"2004"	"04"	"08"	"IRQOCCCVLREB"	"IRQ"	""	"OCC;CVL;REB"	"MED"	""	""	""	"173"	"17"	"4"	"-5.0"	""	"33.34058"	"44.40088"	"Baghdad"	"Muḩāfaz̧at Baghdād"	"IRQ"	""	"5e29e62836b9743750f3c336_46"	"---"	"NYT"	"Two journalists working for The New York Times and two of their Iraqi staff were detained by insurgents in a small town outside Baghdad for three hours on Wednesday ."	"---"	"24011196"
"30"	"3587466_v0.0.0"	"19880204"	"1988"	"02"	"04"	"---MIL"	""	"MIL"	""	"PSE"	"PSE"	""	""	"190"	"19"	"4"	"-10.0"	""	""	""	""	""	""	""	"5e29e62836b9743750f3c2cd_29"	"---"	"NYT"	"Several soldiers fired in the direction of the Palestinians ."	"---"	"22935425"
"31"	"3587467_v0.0.0"	"19880521"	"1988"	"05"	"21"	"TWNCVL"	"TWN"	"CVL"	""	"---AGR"	""	""	"AGR"	"040"	"04"	"1"	"1.0"	"AGRICULTURE,1"	"25.04776"	"121.53185"	"Taipei"	"Taipei"	"TWN"	""	"5e29e62836b9743750f3c2c9_8"	"---"	"NYT"	"Three thousand farmers from across the island were joined by Taipei residents and members of the opposition ."	"---"	"22922787"
"32"	"3587468_v0.0.0"	"20040901"	"2004"	"09"	"01"	"---EDU"	""	"EDU"	""	"---PPL"	""	""	"PPL"	"040"	"04"	"1"	"1.0"	""	""	""	""	""	""	""	"5e29e62836b9743750f3c330_54"	"---"	"NYT"	"Lorenzo Meyer , a historian , lamented in an interview that Mr. Fox will probably go down in history as the man who defeated one of the world 's longest ruling political parties , then helped it return to power ."	"---"	"23997028"
"33"	"3587469_v0.0.0"	"19801227"	"1980"	"12"	"27"	"---OPP"	""	"OPP"	""	"---GOV"	""	"GOV"	""	"111"	"11"	"3"	"-2.0"	""	""	""	""	""	""	""	"5e29e62836b9743750f3c28b_19"	"---"	"NYT"	"Opposition leaders condemned the Government action as `` repressive . ''"	"---"	"22356554"
"34"	"3587470_v0.0.0"	"19960926"	"1996"	"09"	"26"	"PSEGOV"	"PSE"	"GOV"	""	"ISR"	"ISR"	""	""	"010"	"01"	"0"	"0.0"	""	""	""	""	""	""	""	"5e29e62836b9743750f3c2de_34"	"---"	"NYT"	"Palestinians and some Western diplomats subsequently asserted that the Israelis had crossed into Palestinian territory , a charge the Israelis denied ."	"---"	"23498517"
"35"	"3587471_v0.0.0"	"20000803"	"2000"	"08"	"03"	"ISR"	"ISR"	""	""	"---JEWCVL"	""	""	"JEW;CVL"	"010"	"01"	"0"	"0.0"	""	""	""	""	""	""	""	"5e29e62836b9743750f3c2fa_34"	"---"	"NYT"	"Israeli officials have said security has been tightened all across the West Bank and the Gaza Strip , especially near the 145 Jewish settlements that have been the cause of much Palestinian ire ."	"---"	"23730462"
"36"	"3587472_v0.0.0"	"19830512"	"1983"	"05"	"12"	"---EDU"	""	"EDU"	""	"FRA"	"FRA"	""	""	"010"	"01"	"0"	"0.0"	"PUBLIC_TRANSIT,1;STUDENTS,2;SECURITY_SERVICES,1"	"48.85341"	"2.3488"	"Paris"	"Île-de-France"	"FRA"	""	"5e29e62836b9743750f3c299_5"	"---"	"NYT"	"600 Students Dispersed in Paris In Paris , the police dispersed 600 law students who erected barricades , set them afire and burned a bus in the Latin Quarter ."	"---"	"22561249"
"37"	"3587473_v0.0.0"	"20020703"	"2002"	"07"	"03"	"---JEW"	""	""	"JEW"	"ISREDU"	"ISR"	"EDU"	""	"042"	"04"	"1"	"1.9"	"STUDENTS,1;SCHOOLS,1"	"31.76904"	"35.21633"	"Jerusalem"	"Jerusalem"	"ISR"	""	"5e29e62836b9743750f3c317_35"	"---"	"NYT"	"The rabbi 's daughter , for instance , attended a school in the heart of Jerusalem where students were prohibited from riding buses ."	"---"	"23882114"
"38"	"3587474_v0.0.0"	"20021201"	"2002"	"12"	"01"	"---UAF"	""	""	"UAF"	"ISR"	"ISR"	""	""	"190"	"19"	"4"	"-10.0"	""	"31.5"	"34.75"	"State of Israel"	""	"ISR"	""	"5e29e62836b9743750f3c311_27"	"---"	"NYT"	"On Thursday evening , militants connected to Yasir Arafat 's Fatah faction killed six Israelis with a gun-and-grenade attack on a polling place in northern Israel ."	"---"	"23861036"
"39"	"3587475_v0.0.0"	"20020708"	"2002"	"07"	"08"	"---CVL"	""	"CVL"	""	"---HLH"	""	""	"HLH"	"010"	"01"	"0"	"0.0"	""	""	""	""	""	""	""	"5e29e62836b9743750f3c30d_8"	"---"	"NYT"	"Now this pretty young woman bears a scar more commonly seen in old men , a neat red line cut by surgeons from her collarbone down her sternum ."	"---"	"23851804"
"40"	"3587476_v0.0.0"	"20041102"	"2004"	"11"	"02"	"PSE"	"PSE"	""	""	"FRA"	"FRA"	""	""	"040"	"04"	"1"	"1.0"	"SUICIDE_ATTACK,1"	"46.0"	"2.0"	"Republic of France"	""	"FRA"	""	"5e29e62836b9743750f3c327_0"	"---"	"NYT"	"A 16-year old Palestinian blew himself up on Monday in an outdoor market here , killing 3 Israelis and wounding 32 others , three days after Yasir Arafat , the Palestinian leader , left the region for medical attention in France ."	"---"	"23964526"
"41"	"3587477_v0.0.0"	"20041102"	"2004"	"11"	"02"	"PSE"	"PSE"	""	""	"ISR"	"ISR"	""	""	"040"	"04"	"1"	"1.0"	""	"31.5"	"34.46667"	"Gaza"	"Gaza Strip"	"PSE"	""	"5e29e62836b9743750f3c327_32"	"---"	"NYT"	"The Palestinians face critical choices about how to respond to Israel 's decision to pull its settlers out of Gaza , about internal security and how to manage the peace effort , choices that will not wait forever , said Aaron David Miller , a former Middle East negotiator who met with Mr. Arafat 10 days ago ."	"---"	"23964526"
"42"	"3587478_v0.0.0"	"20010720"	"2001"	"07"	"20"	"CAN"	"CAN"	""	""	"JPN"	"JPN"	""	""	"040"	"04"	"1"	"1.0"	""	"35.68536"	"139.75309"	"Japan"	""	"JPN"	""	"5e29e62836b9743750f3c304_14"	"---"	"NYT"	"The leaders of the industrialized nations -- Britain , Canada , France , Germany , Italy , Japan and the United States -- meet on Friday ."	"---"	"23787819"
"43"	"3587479_v0.0.0"	"20050712"	"2005"	"07"	"12"	"USAREB"	"USA"	"REB"	""	"USAMIL"	"USA"	"MIL"	""	"190"	"19"	"4"	"-10.0"	""	"39.76"	"-98.5"	"United States"	""	"USA"	""	"5e29e62836b9743750f3c344_20"	"---"	"NYT"	"Two American marines were killed Sunday by `` indirect fire '' -- presumably mortar shells -- in the insurgent stronghold of Hit , the United States command said ."	"---"	"24053883"
"44"	"3587480_v0.0.0"	"19830512"	"1983"	"05"	"12"	"---EDU"	""	"EDU"	""	"---GOV"	""	"GOV"	""	"010"	"01"	"0"	"0.0"	"STUDENTS,1"	""	""	""	""	""	""	"5e29e62836b9743750f3c299_19"	"---"	"NYT"	"The students distributed an open letter to Education Minister Alain Savary to explain how the legislation , to be presented May 24 , would affect them ."	"---"	"22561249"
"45"	"3587481_v0.0.0"	"19830512"	"1983"	"05"	"12"	"---COP"	""	"COP"	""	"---EDU"	""	"EDU"	""	"190"	"19"	"4"	"-10.0"	"STUDENTS,1;SECURITY_SERVICES,1"	"43.55135"	"7.01275"	"Cannes"	""	"FRA"	""	"5e29e62836b9743750f3c299_0"	"---"	"NYT"	"Riot policemen battled hundreds of students who demonstrated in Paris , Cannes and other French cities today to protest the Socialist Government 's proposed changes in education ."	"---"	"22561249"
"46"	"3587482_v0.0.0"	"19811213"	"1981"	"12"	"13"	"---COP"	""	"COP"	""	"POL"	"POL"	""	""	"190"	"19"	"4"	"-10.0"	"SCHOOLS,1;VIOLENT_UNREST,1"	"52.22977"	"21.01178"	"Warsaw"	"Województwo Mazowieckie"	"POL"	""	"5e29e62836b9743750f3c290_38"	"---"	"NYT"	"Then riot police , backed by the army , stormed a strikebound fire cadet academy in Warsaw , demonstrating new forcefulness , albeit without casualties ."	"---"	"22386606"
"47"	"3587483_v0.0.0"	"20040408"	"2004"	"04"	"08"	"USA"	"USA"	""	""	"---MIL"	""	"MIL"	""	"041"	"04"	"1"	"1.0"	""	""	""	""	""	""	""	"5e29e62836b9743750f3c336_59"	"---"	"NYT"	"American forces called in air support during the fighting , including a a missile from a Super Cobra helicopter and a laser-guided bomb from an F-16 fighter jet ."	"---"	"24011196"
"48"	"3587484_v0.0.0"	"20051026"	"2005"	"10"	"26"	"---CVL"	""	"CVL"	""	"---MIL"	""	"MIL"	""	"010"	"01"	"0"	"0.0"	"IED,1"	"33.749"	"-84.38798"	"Atlanta"	"Georgia"	"USA"	""	"5e29e62836b9743750f3c346_127"	"---"	"NYT"	"The eldest of four children raised by a divorced mother , he saw the military as a way out of his low-income , high-crime section of Atlanta ."	"---"	"24068728"
"49"	"3587485_v0.0.0"	"20050612"	"2005"	"06"	"12"	"PSEGOV"	"PSE"	"GOV"	""	"---GOV"	""	"GOV"	""	"030"	"03"	"1"	"4.0"	""	"31.5"	"34.46667"	"Gaza"	"Gaza Strip"	"PSE"	""	"5e29e62836b9743750f3c342_11"	"---"	"NYT"	"The Palestinian president , Mahmoud Abbas , has said he wants to restore order in Gaza and wants `` one government , one law and one gun . ''"	"---"	"24049692"
"50"	"3587486_v0.0.0"	"20020203"	"2002"	"02"	"03"	"---COP"	""	"COP"	""	"---GOV"	""	"GOV"	""	"040"	"04"	"1"	"1.0"	"SECURITY_SERVICES,1"	""	""	""	""	""	""	"5e29e62836b9743750f3c31e_34"	"---"	"NYT"	"As late as yesterday morning , police officials were meeting with Mayor Michael R. Bloomberg to go over last-minute details , and Commissioner Kelly was planning to monitor the scene in a helicopter ."	"---"	"23897044"
"51"	"3587487_v0.0.0"	"20041115"	"2004"	"11"	"15"	"---UAF"	""	""	"UAF"	"---COP"	""	"COP"	""	"190"	"19"	"4"	"-10.0"	""	""	""	""	""	""	""	"5e29e62836b9743750f3c32f_20"	"---"	"NYT"	"A group of gunmen raided a prison and let out all the prisoners before bombing the building , he said ."	"---"	"23989893"
"52"	"3587488_v0.0.0"	"20050414"	"2005"	"04"	"14"	"---UAF"	""	""	"UAF"	"---GOV"	""	"GOV"	""	"190"	"19"	"4"	"-10.0"	""	"33.34058"	"44.40088"	"Baghdad"	"Muḩāfaz̧at Baghdād"	"IRQ"	""	"5e29e62836b9743750f3c33f_40"	"---"	"NYT"	"In southern Baghdad , gunmen fired on a car carrying a high-ranking Interior Ministry official , leaving him and his driver critically wounded , ministry officials said ."	"---"	"24040666"
"53"	"3587489_v0.0.0"	"20010506"	"2001"	"05"	"06"	"---GOV"	""	"GOV"	""	"---MEDCOP"	""	"MED"	"COP"	"010"	"01"	"0"	"0.0"	"SECURITY_SERVICES,2"	""	""	""	""	""	""	"5e29e62836b9743750f3c309_20"	"---"	"NYT"	"After the rally , Mayor Sara B. Bost told reporters in front of police headquarters that the relationship between the police and the community have been strained for some time in this crowded city of 61,000 residents , many of whom are poor and black ."	"---"	"23828465"
"54"	"3587490_v0.0.0"	"20050301"	"2005"	"03"	"01"	"---MUS"	""	""	"MUS"	"---REB"	""	"REB"	""	"060"	"06"	"2"	"6.0"	"ELECTION,1"	""	""	""	""	""	""	"5e29e62836b9743750f3c33a_28"	"---"	"NYT"	"The insurgency is led by Sunni Arabs , who dominated the government under Mr. Hussein and largely boycotted the national elections in January ."	"---"	"24033916"
"55"	"3587491_v0.0.0"	"20020329"	"2002"	"03"	"29"	"PSE"	"PSE"	""	""	"ISRCVLMIL"	"ISR"	"CVL"	"MIL"	"015"	"01"	"0"	"0.0"	""	""	""	""	""	""	""	"5e29e62836b9743750f3c31d_43"	"---"	"NYT"	"But many Palestinian leaders , including the top officials of Mr. Arafat 's Fatah faction and even his security chiefs , have said that Palestinians should continue attacking Israeli settlers and soldiers as long as the Israelis remain in the West Bank and Gaza Strip ."	"---"	"23890419"
"56"	"3587492_v0.0.0"	"20040408"	"2004"	"04"	"08"	"POL"	"POL"	""	""	"---REL"	""	""	"REL"	"190"	"19"	"4"	"-10.0"	"ID_EXTREMISM,1"	""	""	""	""	""	""	"5e29e62836b9743750f3c336_76"	"---"	"NYT"	"Polish and Bulgarian troops continued yesterday to fight insurgents loyal to Moktada al-Sadr , the radical Shiite cleric ; an aide to Mr. Sadr was killed by Polish forces ."	"---"	"24011196"
"57"	"3587493_v0.0.0"	"19970910"	"1997"	"09"	"10"	"PSECOP"	"PSE"	"COP"	""	"PSECOP"	"PSE"	"COP"	""	"173"	"17"	"4"	"-5.0"	"NAMED_TERROR_GROUP,1;SECURITY_SERVICES,1"	"31.5"	"34.46667"	"Gaza"	"Gaza Strip"	"PSE"	""	"5e29e62836b9743750f3c2e3_3"	"---"	"NYT"	"Hamas members and a Palestinian security officer in Gaza said that the police had rounded up as many as 200 members of the movement for questioning overnight Monday and that 50 to 100 of them had been jailed ."	"---"	"23547196"
"58"	"3587494_v0.0.0"	"19801227"	"1980"	"12"	"27"	"---COP"	""	"COP"	""	"---EDU"	""	"EDU"	""	"173"	"17"	"4"	"-5.0"	"SECURITY_SERVICES,1;SCHOOLS,1"	""	""	""	""	""	""	"5e29e62836b9743750f3c28b_8"	"---"	"NYT"	"But the police swooped down on them at different points and detained them in jails , warehouses and school buildings ."	"---"	"22356554"
"59"	"3587495_v0.0.0"	"19891204"	"1989"	"12"	"04"	"---EDU"	""	"EDU"	""	"---EDU"	""	"EDU"	""	"040"	"04"	"1"	"1.0"	"POSTSECONDARY_EDUCATION,1;STUDENTS,2"	""	""	""	""	""	""	"5e29e62836b9743750f3c2d0_8"	"---"	"NYT"	"The students gathered in the freezing cold under threatening gray skies in a square opposite the philosophy department of Charles University , a center of the student movement ."	"---"	"22962052"
