,aid,code,text,correct
31,22562163,1823,"""Jurors began deliberations today in the trial of four Everett, Mass., police officers accused of beating a man to death in a brawl in a motel room last July.\nIn the four-week trial, witnesses described a confused and bloody early-morning brawl in which several civilians and police officers were hurt.",1
32,22574980,182,"O'Donnell, whose father is the attorney for Mrs. Bowden in the lawsuits, first became interested in the case when he was beaten and arrested by Boston police officers in what he and his family believe was an effort to frighten his father off the case.",1
33,22585780,1712,"Seized at 1:30 A.M.\n\nMr. Seguel, who heads Chile's largest union, the Copper Workers Confederation, was arrested at 1:30 A.M. by police detectives who broke down the door of an apartment here where he was sleeping.",0
34,22633407,186,"Mrs. Gandhi is assassinated in New Delhi by two gunmen identified by police officials as Sikh members of her own security\nguard.""",1
35,22633966,185,"Like the 1970's reports that the C.I.A. plotted with Mafia chiefs to kill Fidel Castro, conducted drug experiments on unwitting people and spied illegally on Americans who opposed the Vietnam War, the Nicaraguan operation has produced bitter divisions inside the agency.",1
36,22643818,1724,"""Three months after imposing martial law in Poland, Gen. Wojciech Jaruzelski, the Polish leader, flew to East Berlin in March 1982 for a hero's welcome by East Germany's Communist leaders, who were among the sharpest critics of Polish liberalization and had repeatedly called for a crackdown.",1
37,22650503,185," was among a small group of Arena members who were said to have planned to kill the Ambassador, Thomas R. Pickering.\n(In Washington, senior officials confirmed that the Administration had learned of a right wing Salvadoran plot to assassinate the Ambassador and that a high-level official had been sent to El Salvador to issue warnings to the plot leaders.",1
38,22661719,186,"His statements could not be confirmed.\nForeign journalists and a foreign human rights investigator have reported that a rebel unit executed as many as 11 Government soldiers last month in Cuapa, north of Juigalpa, in central Nicaragua.\n\nMr. Rodriguez said that it was not clear what happened in Cuapa, but that it appeared possible that rebels had executed some prisoners.",0
39,22673569,1711,"Mr. Pol Pot has been accused of being responsible for the deaths of more than two million Cambodians from 1975, when his group seized power from the American-backed Lon Nol Government, until the Khmer Rouge were forced into guerrilla warfare in 1978.",0
40,22693636,186,"Its interior is a sprawl of brown-brick walls, red carpets and fluorescent lights, possessing not a single clearly Japanese feature in any public room or corridor.\n\n\n\nTwice in the 1930's, military officers broke into the house to assassinate Prime Ministers, a bit of historical unpleasantness that may explain in part why only 3 of Japan's 16 postwar Prime Ministers have elected to live there.",1
41,22697139,1724,"\nSince September 1984 more than 1,000 people, the bulk of them black, have died in violent protest in this torn nation, and the authorities have declared a state of emergency in districts around Johannesburg, Cape Town and Port Elizabeth.",1
42,22714958,182,"They stopped and got out, only to be severely beaten by a gang of white men.",1
43,22715465,1822,"Police officials have rejected the assertions, saying they are unspecific.\n\n\nBut support committee officials contend that previous episodes in South Africa's handling of detainees, such as the death in police custody of the black consciousness leader Steve Biko in 1977, offer little hope that police methods have changed.\n\nLast year, Auret van Heerden, a white student activist who is one of the four whites currently detained, sued 10 security policemen, alleging that they tortured him while he was detained.",1
44,22716179,1821,"""A black leader from the township of Soweto asserted today that two black policemen raped a girl as she returned home from school this week.",1
45,22717454,1724,"#600 Died in Recent Unrest Over the last 11 months, more than 600 people have died in unrest in black residential areas, many in clashes with policemen and soldiers, prompting Mr. Botha on July 20 to declare a state of emergency in 36 districts around Johannesburg and in eastern Cape Province.",1
46,22726094,1711,"They also asked for the release of 2,000 Palestinians held by Amal and the mainly Shiite Sixth Brigade of the Lebanese Army.\n\nAmal's leader, Nabih Berri, said at a news conference here today that documents had been seized from the Palestinian prisoners showing what he termed a conspiracy by Yasir Arafat, the chairman of the Palestine Liberation Organization, to provoke national strife in Beirut.\n\n\nMr. Berri said Amal would release the papers when an investigation into the fighting in the settlements was completed.\nShiite fighters took full control of the Sabra settlement Friday.",1
47,22728134,1823,"""The central figure in a murder trial of secret policemen here portrayed himself today as an inexperienced, reluctant and even squeamish killer who inexplicably beat a pro-Solidarity priest to death after having been enticed into kidnapping the cleric with suggestions of support from ''the top.''",1
48,22729437,186,"Soviet security people virtually took control of a wing of the presidential palace where the Soviet leader stayed.\n\nSoviet officials made no secret of their concern about their leader's safety in a country whose Prime Minister, Indira Gandhi, was assassinated by two of her own security guards in 1984.",1
49,22735370,1822,"Ward said yesterday, however, that there was no indication that any superior officers besides the suspended sergeant were involved in wrongdoing.\n\nYesterday's transfers, which had been expected, were reminiscent of Mr. Ward's actions last year after officers at the 106th Precinct in Ozone Park, Queens, were accused of torturing prisoners with an electric stun gun.",1
50,22738128,1711,Newspapers Seized \n\n\nThe Hungarian specialist said Rumania prevented Hungarian newspapers from circulating and seized even single copies from Hungarian tourists or family visitors at the border.,1
51,22740745,185,"It was not clear if there was any link between the events.\n\nIn October 1981, Mr. Rabb left Italy suddenly, without even a change of clothes, after Italian authorities discovered a reported Libyan plot to assassinate him.",1
52,22748875,1724,"Aquino's revocation of limits on the writ of habeas corpus restored for the first time since Mr. Marcos declared martial law in 1972 the protection for all Filipinos against summary detention or imprisonment.\nShe presented her proclamation, with its symbolism of a renewal of human rights, in a dramatic reading of the full edict, replete with the legalistic language Mr. Marcos often employed in issuing decrees that restricted freedoms.\n\nThe decree quoted the 1981 proclamations of Mr. Marcos,",1
53,22758056,1711,"Two of the passports were confiscated by Libyan authorities from Tunisians who were expelled from Libya last summer, and one of them was reported lost by a Tunisian in Libya in 1977.",1
54,22765423,1821,"It was filed by Representative Ron Dellums, Democrat of California, suing as a private citizen; Myrna Cunningham, who said she was raped in Nicaragua by rebels, and Eleanor Ginsburg, who said United States paramilitary training took place near her Florida home.""",1
55,22778994,186,"An Indian newspaper suggested that he had been trying to emulate the Hindu extremist who assassinated Mohandas K. Gandhi, India's independence leader, in 1948.\n\nOfficials were clearly exercising caution before identifying the suspect's religion for fear of aggravating the already high tensions between Hindus and Sikhs.\n\nThousands of people have died in violence between Sikhs and Hindus in the last few years, and Sikh extremists carry out almost daily attacks on Hindus in Punjab state.",1
56,22784155,1712,"Civil rights groups monitoring the detentions say between 12,000 and 16,000 people, most of them black activists, have been seized.\n\n\nIn a separate development, the authorities in Cape Town, pursuing a campaign to disperse the residents of the huge squatter camp known as Crossroads, were said by witnesses today to have demolished the homes of more than 100 families.\n\nAlso In Cape Town, the Progressive Federal Party, the official white opposition party in the segregated three-chamber Parliament, took the unusual step of withdrawing its traditional cooperation with the Government in ordering parliamentary business.",1
57,22784158,1821,"""A nun was raped in the basement of a Manhattan convent late yesterday afternoon by a former handyman at the convent who last night surrendered to authorities, the police said.\nThe suspect, identified as Mauricio Espinal, 26 years old, of 1274 Fifth Avenue, turned himself in at the 23rd Precinct station house on East 102d Street at 9:45 P.M..\n''He knew were were looking for him,'' said Sgt. Edward Burns, a spokesman for the police department.\nSergeant Burns said the rape occurred at the convent at 5 P.M.,",1
58,22786394,1822,"Mr. Yurchenko made a dramatic return to the Soviet Union in November, contending that he had been kidnapped and tortured by the C.I.A.\nMr. Yurchenko also told the Americans that Ronald W. Pelton, a former employee of the National Security Agency, had sold information to the Soviet Union.",1
59,22807256,1823,"Most still remember Vincent Chin, a Chinese-American beaten to death five years ago in Detroit by two laid-off automobile workers who thought he was Japanese.",1
60,22807899,182,"\nLarry Davis, who is being held in prison on charges of killing five drug dealers and wounding six police officers, stabbed a correction officer in the head with a ballpoint pen yesterday, officials said.\n\nThe stabbing occurred at 12:20 P.M., as Mr. Davis was being returned to his cell in the Men's House of Detention on Rikers Island.",1
61,22809534,182,"Boris Becker, finding his touch in a high-quality final set, beat Tim Mayotte of the United States by 4-6, 7-6, 6-4 today and reached the final of the Stella Artois grass-court championships at Queens Club.",0
62,22812571,182,"\nBobby Czyz retained his International Boxing Federation light heavyweight title when he knocked out Willie Edwards at 2:16 of the second round of a scheduled 15-round bout today.\nBut as speedily as he dispatched his foe, Czyz's fight did not go without hitches.\nIn the opening round, Czyz had been consistently beating Edward to the punch when there was a dramatic turnabout.\n\nCzyz said afterward that he and Edwards, the 31-year old North American Boxing Federation light heavyweight champion, clashed heads toward the end of the round.",0
63,22820739,182,"In other first-round action, Adriana Villagran of Argentina defeated Wiltrud Probst of West Germany, 6-3, 3-6, 6-3, and Patricia Tarabini of Argentina beat Gabrielle Dinu of West Germany, 6-3, 6-1.",0
64,22821131,1822,"Verges has made it clear that he intends to call into question French behavior, not only during the war but in subsequent periods, such as this country's long battle against Algerian independence.\n\nHe is expected to argue that the accusations against Mr. Barbie are no worse than those leveled against the French Army, which is said to have tortured prisoners in Algeria.",1
65,22822059,1712,"The police dropped a bomb on a house occupied by members of the group after a confrontation, killing 11 people and destroying 61 homes.",1
66,22842166,1822,"The police in Kenya have tortured hundreds of people suspected of opposing the Government during a 16-month-old crackdown on a dissident Marxist group, Amnesty International charged today.",1
67,22852992,185,"\nA jury found a patrolman not guilty of murder Friday in the slaying of a fellow officer who was accused of being a vigilante and plotting to kill several officials.\nThe defendant, Farrell Tucker, who was standing, slumped into his chair and put his hands to his face when the verdict was pronounced.",1
68,22868514,1724,"Wojciech Jaruzelski today began his first official visit to the West since he imposed martial law in Poland five years ago.\n\nIn meetings with Italian Government leaders, he discussed ways to reduce Poland's diplomatic and economic Prime Minister Bettino Craxi told the general that respect for human rights is a ''priority sector'' in efforts to improve relations among European nations,",1
69,22868514,1724,Gen. Wojciech Jaruzelski today began his first official visit to the West since he imposed martial law in Poland five years ago.,1
70,22875528,1822,"Conviction in '86 Trial\n\n\n\nThe Police Department dismissed Mr. Pike, 43, after he was convicted in the first stun-gun trial, in 1986, of torturing a teen-age drug suspect with the battery-powered device.",1
71,22890687,1711," Mohammed Khames, 40 years old, died Monday in an exchange of fire with the police when they raided his apartment in Maadi, a suburb of Cairo.\nIn a separate incident Monday, the police arrested the second convict, Ahmed Aswani, 31, in the Ghamra area of the city after he was wounded in a gunfight while resisting arrest.\nMr.",1
72,22894275,185,"\nA law-enforcement official said today that a Missouri man who is accused of plotting to kill the Rev. Jesse Jackson made a statement to an informer implying that others had done the high-level planning.\n\nThe man, Londell Williams, 30 years old, a self-described member of a violent neo-Nazi terrorist group, and his wife, Tammy J. Williams, 27, have been charged in a Federal complaint with conspiring to kill or injure Mr. Jackson, the Democratic Presidential candidate;",1
73,22902717,1712,"They burned down his home, destroyed the only print of his movie, ''The Black President,'' and threw his 77-year old mother out of a second-story window.",1
74,22910492,1822,"Facing the man she said beat and tortured her, Hedda Nussbaum testified yesterday at the murder trial of Joel B. Steinberg, telling the jury that he handed her the unconscious form of Lisa Steinberg on the evening of Nov. 1, 1987, the night the prosecution says he gave the child a fatal beating.",1
75,22917177,1711,A Federal appeals court ruled 8 to 4 yesterday that the Government could not prevent defendants from hiring the lawyers of their choice by freezing and seizing the defendants' assets.,1
76,22917684,185,"\nAs Pope John Paul II ended his Austrian tour today with warm thanks to President Kurt Waldheim, a news report said a new plot by Turkish extremists to assassinate the Pope had been foiled in Vienna.\nOn May 13, 1981, a Turkish terrorist shot and badly wounded the Pope in St. Peter's Square.\n\nABC News in New York quoted unidentified sources as saying two Turkish extremists were the prime suspects in the latest assassination plot.",1
77,22924572,186,"Hosts Are Polite \n\nAlthough the Hungarian information outlets have criticized Israeli actions in repressing Palestinian demonstrations in the occupied territories and accused Israel of the assassination of Abu Jihad, the military commander of the Palestine Liberation Organization, Mr. Peres suggested that the Hungarian leaders had not emphasized their opposition.",1
78,22931137,182,"''A guy from Massachusetts beat him in Texas, beat him in Florida.",0
79,23001157,1822,"Confucian Ideal Vs. Popular Culture Before June 1987, intelligence agents and police officers routinely detained, interrogated and tortured people like Kim Keun Tae, an intellectual active in the underground labor movement.\n\n\nNow Kim Keun Tae and hundreds like him are out of jail, freed by a series of presidential amnesties.",1
80,23005041,1821,"In another case, two assailants, after having met a young woman at a campus party, raped her in a nearby residence hall.",1
81,23026721,1724,"Armored personnel carriers patrolled the city, streets were littered with papers, store windows were broken and one man was shown stealing milk from a vandalized store.\n\n\nParty Offices Attacked &lt;break/&gt;\n\n\nThe authorities declared a state of emergency in Dushanbe on Monday, after mobs stormed the Communist Party headquarters and set fire to its first two floors.",1
82,23061946,1823,"o not worry, I will not die, Satan,"""" stabbed his mother to death and wounded his father with a kitchen knife at a Thanksgiving Day gathering yesterday, the police and neighbors said.",1
83,23064655,1822,A Palestinian was shot to death and 61 others were wounded in clashes between Israeli soldiers and Arabs who were angered by rumors that a Palestinian prisoner had been tortured to death in a military jail in the Gaza Strip.,1
84,23066061,1823,"\n\n\nThis steady spiral of violence began on Sunday, when a Palestinian from a small West Bank village stabbed three Jews to death in a quiet Jerusalem neighborhood, apparently to avenge the shooting deaths of 21 Palestinians at Al Aksa Mosque two weeks ago.",1
85,23076492,1823,"\nA 60-year old woman who sold dresses out of her home and a friend who was visiting her were stabbed to death early yesterday by an assailant she apparently let into her Washington Heights apartment, the police said.\nThe police found the woman, Bertha Ostrynski, in the front hallway of the six-room apartment at 825 West 179th Street.",1
86,23076492,1823,"A 60-year old woman who sold dresses out of her home and a friend who was visiting her were stabbed to death early yesterday by an assailant she apparently let into her Washington Heights apartment, the police said.",1
87,23081486,1711,"""In an effort to crackdown on what they said was an increase in underage drinking, the East Lansing police have confiscated more than 700 fake driver's licenses from students of Michigan State.""",1
88,23129886,1823,"""In a Nov 28, 1991 radio broadcast, the Khmer Rouge announced they plan to abide by a UN peace plan despite the near lynching of Khieu Samphan, the organization's nominal leader, by a revenge-seeking mob in Cambodia.""",0
89,23136784,1821,"The youths then beat the man on the head and upper body with bottles and their fists, took $25 from him, slit his pants with a razor and sexually assaulted him with a stick, the police said.",1
90,23141748,1711,"But in interviews, other intelligence officials were willing to verify only that the Government intercepted communications of Sandinista officials discussing among themselves their private contacts with Congressional officials.\n\n\n\nAt one point some Administration officials proposed that members of Congress or their aides be prosecuted, former Administration officials said.",0
91,23160153,1823," the Yonhap news agency said.\nIn the southern industrial city of Masan, 100 protesters were watched by more than 15 times as many riot policemen.\nAnti government demonstrations have erupted across South Korea since five riot policemen allegedly beat to death a 20-year old student, Kang Kyung-dae, during a demonstration in Seoul on April 26.",1
92,23161900,186,"Authorities blame much of the city's violence on rivalry between youth gangs working for the Medellin cartel.\n\n\nIn the second shooting, gunmen killed a town councilman and five peasant leaders traveling 50 miles northwest of Bogota, the police said.""",1
93,23171114,1823,"\n\nBut this time, he said he was being lynched by a committee of the United States Senate rather than """"hung from a tree.""""\nUnder questioning tonight from Senator Heflin, Judge Thomas said he did not watch Professor Hill's testimony because he could not bear to watch untruths.\n""""If you did not listen,"""" Senator Heflin said, that made it difficult """"to find out what the actual facts are.""""",0
94,23199217,1821,"""A Manhattan federal appeals court on Jul 28, 1992 criticized the New York City Police Department for its apparent discrimination against Karen Sorlucco, who had charged another officer with raping her at gunpoint in 1983.",1
95,23225526,1724,"""In the wake of the first outbreak of ethnic fighting on Russian soil on Oct 30, 1992, Russian President Boris Yeltsin declared a state of emergency in North Ossetia and Ingushetia on Nov 2, 1992.""",1
96,23225526,1724,"""In the wake of the first outbreak of ethnic fighting on Russian soil on Oct 30, 1992, Russian President Boris Yeltsin declared a state of emergency in North Ossetia and Ingushetia on Nov 2, 1992.""",1
97,23264928,185,"The action was taken in retaliation for an attempt by Iraq to assassinate former President George Bush.""",1
98,23264958,185," Madeleine K. Albright,said United States retaliation was consistent with Article 51 of the United Nations Charter, which provides for the right of self defense, for what American officials have concluded was a plot by the Iraqi Government to assassinate former President George Bush in Kuwait.",1
99,23276597,1712,"The baby was a second child, a boy, and the parents did not wait the four years before a second child is allowed in this area.\n\nInstead, the baby was born five months before the time limit, so the local authorities destroyed the home and took the cow.",1
100,23286164,185,"""A Kuwaiti court said on Dec 25, 1993 that it would re-examine a prosecution witness and possibly some defendants in the trial of 11 Iraqis and 3 Kuwaitis accused of plotting to kill former President George Bush.""",1
101,23294877,185,"""According to an article written by Seymour M.  Hersh and published in the New Yorker, the evidence of an Iraqi assassination plot against former President George Bush was much weaker than the Clinton administration asserted, with no evidence directly linking Iraqi President Saddam Hussein, his intelligence service or his senior advisors to the conspiracy.",1
102,23471351,1724,"Lawton Chiles had declared a state of emergency for the northwest and central Gulf Coast regions of the state on Sunday, which put the state's National Guard on standby, and gave today off to state employees in 11 Panhandle counties.",1
103,23477040,185,"When the United States uncovered what it said was an Iraqi plot to assassinate Mr. Bush, Mr. Clinton ordered the bombing of an Iraqi military intelligence headquarters in Baghdad in 1993.",1
104,23486126,1711,"\n\n\n\nThe Government has made this group the focus of its public campaign, likening it to the now-defunct Indonesian Communist Party, which was blamed for an attempted uprising in 1965 that touched off a wave of violence that took up to 500,000 lives and led Suharto to seize power from Sukarno in a military coup.\n\n\nMr.",0
105,23491577,1711,"For one thing, no one was meant to know Mrs. Peabody's death was an assisted suicide.\n\n\n\nA week later, however, police officers raided a hotel room in suburban Detroit in which Dr. Kevorkian and Mrs. Good were meeting with another woman, and seized items, including a videotape of Mrs. Peabody discussing her condition and asking Dr. Kevorkian to help her die.",1
106,23494950,1823,"Instead, the guards at the jail, then situated in Jersey City, beat him to death with their fists and a fiberglass baton.",1
107,23500447,1724,"Mr. Rowland said the results were expected and were not a cause for alarm.\nAfter Gov. Lincoln Almond of Rhode Island had declared a state of emergency in Westerly, Connecticut started using trucks to spray insecticide around swampy areas in Stonington and North Stonington.\n\nOn Long Island last month,",1
108,23500902,182,"But to beat the Democratic nominee -- likely to be either Norm Rice, the Mayor of Seattle, or Gary Locke, the King County Executive -- Republicans first have to end their own war.",0
109,23506169,1822,"""An international human rights delegation  here this week heard new testimony from a witness who said he saw Mexican soldiers in a rural church in  Chiapas state torture three young farm boys who later were found dead along a highway.\nIn Mexico City, a stream of citizens told the delegation about police officers' using torture while carrying out criminal investigations.\n\nAnd in the turbulent state of Guerrero, the delegation from the Organization of American States got a taste of the harrassment that human rights monitors endure routinely in many parts of Mexico.",1
110,23507977,1821,"Gordon then shot Ms. Mauzon in the head, forced the other women to remove their clothes and sexually assaulted them, eventually slashing Zakkiyhah Holliman, 18, to death and bludgeoning her twin, Hadiyah, with a hammer, the police said.\nThe police said their account was based on interviews with Latisha Crite, 19, who fled by jumping from a window.",1
111,23517569,1821,"But the law would make untenable the defense that 14 years ago freed James L. Morrow, a former corrections officer accused of raping an inmate at Bedford Hills.",1
112,23517569,1821,He said a deputy warden and a corrections officer at the women's prison in Niantic were charged recently with sexual assault of the same inmate.,1
113,23527217,1822,"Is there any place like this?"""" \n&lt;umient&gt;\n&lt;uopts&gt;&lt;ety&gt;39&lt;/ety&gt;&lt;enum&gt;0&lt;/enum&gt;&lt;/uopts&gt;&lt;photo&gt;\n Nita, a 56-year old teacher at a refugee camp, says: """"My parentstold me how Burmese soldiers tortured the Karen people.",1
114,23527647,1821,The woman told the police that she was raped by two male inmates  when she was changing clothes to leave the jail.,1
115,23539626,1822,"Many of these Mexicans were detained under suspicion that they had collaborated with anti government guerrilla groups.\n\n\nThe group has also recorded a sharp increase in reported cases of people tortured by the police or the military to obtain confessions in criminal investigations, and of people who disappeared after being detained by the authorities.\nMexican officials ''showed their lack of interest in the perspective of a human rights organization which contradicts official wisdom,'' Mr. Sane said of his reception here.\n\nParadoxically,",1
116,23540019,185,"""A Federal judge who was to sentence a Mafia figure removed himself from the case this week after prosecutors said the defendant had admitted plotting several years ago to kill the judge.\n\nThe judge, Eugene H. Nickerson of Federal District Court in Brooklyn, stepped down on Monday from the case of Anthony S. Casso after receiving a letter on Friday from a prosecutor who said that when Mr. Casso agreed in 1994 to cooperate with the Government,",1
117,23542728,182,"\n\n\nA dedicated athlete with a confessed weakness for the pleasures of the world, he beat a Greek for gold in Atlanta, and then kissed his rival as a public call for friendship between edgy neighbors.",0
118,23567161,1821,"""A former high school track coach was arrested today in connection with the rape of a Chabot College student, one of a series of attacks in the San Francisco Bay area attributed to a serial rapist.\nThe suspect, Tony Lawayne Ransom, 47, of San Leandro, was arrested at his home, the police said.\nMr.",1
119,23570994,1711,"Two weeks ago, police raided 10 video stores in Suffolk County.\n\n\n\n''In the final analysis, it's out-and-out theft, and can not be tolerated,'' said Mr. Pistey of the association.",1
120,23577059,1822,"noted that the most damaging information was based on statements made by a Palestinian who subsequently claimed he had been tortured by Israeli interrogators and was forced to sign a confession in Hebrew, which he could not understand.\n\n\n\nThe Israeli Government's apparent reluctance to bring Mr. Abu Marzook to trial appeared to contradict Mr. Netanyahu's reputation as a hawk in the fight against terrorism.",1
121,23579147,1712,"On Dec. 12, 1981, she said, soldiers broke down the doors of the family home, beat her father with rifle butts when he resisted and sexually assaulted her 10-year old sister until the father surrendered.",0
122,23579400,1711," said that the agency would be reviewing the records it seized from locations ''directly or indirectly connected to the Columbia health care system'' in the coming weeks.\nAmong the thousands of documents the Government seized was one that appears to demonstrate an aggressive approach by the company toward gaining the most money possible from Medicare.\n\nThe document, from Columbia Medical Center West,",1
123,23584120,1822,"There were signs that his assailant had tortured him and spent time in his town house.""",1
