document_id,aid,sentence_id,date_str,date,year,month,day,event_tense,root_code,code,source_actor_id,source_actor_name,source_country_codes,source_agent_id,source_agent_name,target_actor_id,target_actor_name,target_country_codes,target_agent_id,target_agent_name,text,batch
NYTborndigital_19880311_22909642,22909642,1,19880311,03/11/1988,1988,03,11,neutral,14,141,41262,United States,US,173,Citizen,,,,,,"Elisabeth Ann Zinser, the newly appointed president of Gallaudet University, the nation's only institution of higher learning for the deaf, resigned early today in the face of mass protests by students and faculty members who had demanded a leader who is hearing-impaired.",31
NYTborndigital_19851007_22709434,22709434,0,19851007,10/07/1985,1985,10,07,neutral,18,181,41262,United States,US,690,Attacker,41262,United States,US,27,Law Enforcement,"""A man shot four bystanders when he pulled a gun on a group of men trying who were trying to rob him yesterday in Brooklyn, the police said.\n\nThe man's attackers fled, abducting an off-duty corrections officer during their escape, the police said.",5
NYTborndigital_20020420_23862466,23862466,6,20020420,04/20/2002,2002,04,20,neutral,18,1831,34539,"Palestinian Territory, Occupied",PS,600,Armed Gang,34539,"Palestinian Territory, Occupied",PS,,,It wounded two Israeli soldiers as the bomber blew himself up in a car near the Kissufim crossing in central Gaza.,34
NYTborndigital_19871101_22835353,22835353,15,19871101,11/01/1987,1987,11,01,neutral,14,145,39594,Tibet Autonomous Region,CN,510,Protester,32631,China,CN,27,Law Enforcement,"A Chinese police station was burned and at least nine Tibetan protesters were killed when armed police fired into the crowd.\n\nToday, the Tibetan officials attending the party congress denied that the police fired on protesters.\nDespite reports from travelers that curfews have been imposed in Lhasa and that heavily armed Chinese police patrol the streets, Communist officials in Tibet said that Lhasa had returned to normal.",26
NYTborndigital_19990903_23680446,23680446,0,19990903,09/03/1999,1999,09,03,current,14,145,41262,United States,US,617,Legislature,41262,United States,US,725,Administrative Body,"""With Nassau County facing a two-year deficit that could exceed $300 million, the Republican leaders of the County Legislature broke ranks today with County Executive Thomas S. Gulotta, a fellow Republican, and called for budget changes that they said would save $40 million.\n\n\n\nThey also demanded the appointment of a Fiscal Advisory Board to oversee the budget process.",68
NYTborndigital_20020419_23887704,23887704,21,20020419,04/19/2002,2002,04,19,neutral,18,1831,31843,Israel,IL,690,Attacker,31843,Israel,IL,173,Citizen,"The couple were among 28 people killed by a suicide attacker carrying a large, weapons-grade bomb.\n\n\n\nFor Mr. Bartov, the emotional wound is still fresh.",79
NYTborndigital_19991015_23675320,23675320,0,19991015,10/15/1999,1999,10,15,neutral,14,145,31182,Indonesia,ID,510,Protester,31182,Indonesia,ID,211,Military Personnel - Special,"""Indonesia entered the final and most intense days of its political transition today with demonstrators and security forces battling in the streets as President B. J. Habibie pleaded with an electoral assembly to choose him for a full five-year term.\n\n\nThe occasion was the President's ''accountability speech'' in which Mr. Habibie described what he saw as his accomplishments -- civil rights and openness,",38
NYTborndigital_19850328_22675791,22675791,13,19850328,03/28/1985,1985,03,28,neutral,14,145,39010,South Africa,ZA,173,Citizen,39010,South Africa,ZA,27,Law Enforcement,"The first police account said a hostile crowd of up to 4,000 black protesters attacked a lone armored police vehicle, forcing the police to fire back in self defense.",55
NYTborndigital_20020403_23889779,23889779,6,20020403,04/03/2002,2002,04,03,neutral,18,1831,34539,"Palestinian Territory, Occupied",PS,173,Citizen,34539,"Palestinian Territory, Occupied",PS,,,"Dozens of Palestinian gunmen were reported to have moved into the Church of the Nativity, which was built on the spot where, Christians believe, Jesus was born.\n\n\nThe Israeli offensive did not deter a campaign of suicide bombings, and in the seventh attack in seven days, a Palestinian bomber blew himself up near a military checkpoint on the border between the West Bank and Israel.",34
NYTborndigital_20051026_24068728,24068728,124,20051026,10/26/2005,2005,10,26,historical,18,1831,31853,Iraq,IQ,173,Citizen,43427,United Nations,,,," U.S. forces begin an assault on Baghdad.\nMay/June\nPresident Bush, speaking to troops on May 1, declares that ''major combat operations in Iraq have ended.''\nJuly/August\nA suicide truck bomber destroys the U.N. headquarters in Baghdad.",84
NYTborndigital_19950611_23438394,23438394,0,19950611,06/11/1995,1995,06,11,historical,14,141,41262,United States,US,61,Engineer,,,,,,"""One result of the May 1995 walkout by Long Island Rail Road engineers is a revival of interest in removing the employees from the jurisdiction of the Federal Railway Labor Act and placing them under New York state's Taylor Law, which forbids strikes by public employees.""",67
NYTborndigital_19970429_23572558,23572558,7,19970429,04/29/1997,1997,04,29,current,18,181,41262,United States,US,173,Citizen,41262,United States,US,571,Court Judge,"''He did not want any harm to come to the Rowes,'' Judge Brisbin said.\nJoe and Margaret Ann Rowe, who live near the group's headquarters, were taken hostage on Sunday by three members who fired guns and held them for more than 12 hours, calling them ''prisoners of war.''\nMrs.",53
NYTborndigital_19821026_22479173,22479173,10,19821026,10/26/1982,1982,10,26,neutral,14,141,41262,United States,US,510,Protester,,,,,,"By afternoon, more than 200 people had put their names on a sign-up sheet.\n\n\n\nIn Brooklyn's War Memorial Park, not far from the Brooklyn Bridge, demonstrators protesting unemployment had put up a 35-tent ''Reagan Ranch,'' one of a number built by protesters around the country.",20
NYTborndigital_19840625_22605061,22605061,0,19840625,06/25/1984,1984,06,25,neutral,14,145,30701,France,FR,510,Protester,30701,France,FR,27,Law Enforcement,"""At least 850,000 protesters demonstrated in the streets of Paris Sunday to show their opposition to a Government proposal that would give the state some new powers to regulate France's private schools.\n\n The day passed without violent incident until Sunday night, when several hundred young demonstrators threw rocks at policemen and set ablaze barricades they built in the street.",30
NYTborndigital_20020620_23849693,23849693,0,20020620,06/20/2002,2002,06,20,current,18,1831,34539,"Palestinian Territory, Occupied",PS,600,Armed Gang,31843,Israel,IL,601,Student,"""Ayman Kabaha, an Israeli Arab student killed by a Palestinian suicide bomber in Jerusalem on Tuesday, was buried here today on a rocky hillside, mourned by relatives on both sides of this Arab village that lies half in Israel and half in the West Bank.\n\n\nMr. Kabaha's death at the hands of a fellow Arab underlined the predicament of the people living here.",84
NYTborndigital_20041216_23986191,23986191,0,20041216,12/16/2004,2004,12,16,neutral,18,181,29046,Afghanistan,AF,193,Islamic Militant,39637,Turkey,TR,61,Engineer,"""A Turkish construction engineer has been kidnapped and killed by suspected Islamic militants opposed to the international reconstruction effort in Afghanistan, government officials said Wednesday.\nThe engineer, Muhammad Ayub, was working on a road project financed by the United States Agency for International Development and managed by an American construction company, the Louis Berger Group.\n\n  He was abducted Tuesday from his car, along with a driver and a translator as they were traveling from Jalalabad to Kunar Province in eastern Afghanistan.",14
NYTborndigital_19861228_22769770,22769770,0,19861228,12/28/1986,1986,12,28,current,14,145,29046,Afghanistan,AF,128,Exiles,,,,,,"""Afghan exiles burned Soviet flags and an effigy of Mikhail S. Gorbachev in protests here today marking the seventh anniversary of the Soviet military intervention.\nAbout 1,000 exiles marched through Islamabad shouting slogans and demanding the withdrawal of Soviet forces.",51
NYTborndigital_19840404_22611147,22611147,2,19840404,04/04/1984,1984,04,04,neutral,14,145,31081,India,IN,668,Mob,31081,India,IN,27,Law Enforcement,"\n\n\nAt least 10 people were killed this afternoon when the police fired on a crowd in Amritsar, the holy Sikh city in Punjab, and the police and paramilitary forces were ordered to shoot rioters on sight and to open fire to disperse illegal gatherings.\n\n\n(Reuters said the police shot and killed 10 rioters in Amritsar and wounded more than 50 others and that two policemen had been killed by a mob.",5
NYTborndigital_19841031_22633569,22633569,5,19841031,10/31/1984,1984,10,31,neutral,18,181,34481,Poland,PL,263,Criminal,34481,Poland,PL,638,Priest,"Urban, the Government spokesman, identified the three suspects as belonging to the security police, which like the regular uniformed police comes under the jurisdiction of the Interior Ministry.\nThe Ministry had previously said that the suspects admitted abducting Father Popieluszko, and the captain, Grzegorz Piotrowski, said he had killed the priest.\n\nBut Mr. Urban, the Government spokesman,",20
NYTborndigital_20030418_23950281,23950281,6,20030418,04/18/2003,2003,04,18,neutral,14,141,41262,United States,US,173,Citizen,,,,,,"\n\nMartha Burk, who has been leading protests asking Johnson to reconsider the club's men-only membership, said yesterday, ''I think now he has increased the pressure on the corporate C.E.O. members of the club by this unbending attitude.\n\n''Hootie has not learned that merely laying down the law will not end this,'' she said.""",84
NYTborndigital_19970914_23565615,23565615,15,19970914,09/14/1997,1997,09,14,neutral,14,141,41262,United States,US,640,Employee,,,,,,BERNARD STAMLER\n\n\n&lt;umient&gt;&lt;uopts&gt;&lt;ety&gt;39&lt;/ety&gt;&lt;enum&gt;0&lt;/enum&gt;&lt;/uopts&gt;&lt;abstext&gt;An inflated 20-foot rat helped unionized construction workers protest the use of nonunion labor on a renovation project in TriBeCa.,7
NYTborndigital_19980329_23625777,23625777,21,19980329,03/29/1998,1998,03,29,historical,18,181,41262,United States,US,173,Citizen,41262,United States,US,118,Episcopal,"But it said that in March 1995, Mr. Kehoe and another accused member of the group, Faron Earl Lovelace, 41, now on death row in Idaho, picked up the stolen goods at Elohim City, a white separatist community in Oklahoma near the Arkansas state line, and took them to Spokane, Wash.\n\n\n\nBack in Mr. Kehoe's hometown in Washington, the Arkansas grand jury said, he and Mr. Lovelace robbed and kidnapped a Colville couple, Malcolm and Jill Friedman, on June 12, 1995.",38
NYTborndigital_20010605_23806861,23806861,0,20010605,06/05/2001,2001,06,05,neutral,14,145,37206,Nepal,NP,510,Protester,,,,,,"""Rioting erupted here in Nepal's capital today, just hours after the enthronement of a new king, this Himalayan nation's third monarch in the last four wrenching days.\nAfter the death of King Dipendra before dawn today, his uncle, Gyanendra Bir Bikram Shah, was proclaimed king.\n\n As the protesters gathered, they alternately hurled rocks and accusations, angrily demanding the truth about the killings of nearly the entire royal family on Friday night.",69
NYTborndigital_19890725_22943784,22943784,1,19890725,07/25/1989,1989,07,25,neutral,14,141,41262,United States,US,640,Employee,,,,,,"Thousands of health care workers, protesting stalled contract negotiations, picketed St. Luke's-Roosevelt Hospital Center on Morningside Heights yesterday morning.",6
NYTborndigital_19860714_22730603,22730603,2,19860714,07/14/1986,1986,07,14,neutral,18,181,34096,Philippines,PH,,,41262,United States,US,127,Religion,"MANILA, July 13 (UPI) - Gunmen abducted 10 Filipino nuns and an American missionary in separate incidents in the predominantly Moslem city of Marawi, church officials and army officials reported today.",61
NYTborndigital_19871122_22831979,22831979,19,19871122,11/22/1987,1987,11,22,current,14,145,35932,South Korea,KR,510,Protester,1598,Kim Young Sam,KR,,,"Last weekend in Kwangju, another Kim Dae Jung stronghold, Kim Young Sam fled when protesters bombarded him with rocks and bottles.\nThere was no recurrence of serious trouble today.",41
NYTborndigital_20050612_24049692,24049692,1,20050612,06/12/2005,2005,06,12,neutral,14,145,34539,"Palestinian Territory, Occupied",PS,420,Militant,34539,"Palestinian Territory, Occupied",PS,211,Military Personnel - Special,"The house of the Gaza commander of preventive security, Gen. Rashid Abu Shbak, was shot up by the militants, who also fired a rocket-propelled grenade at it, witnesses said.\n\n\nWitnesses reported at least three wounded, but officially, no injuries were reported, and no arrests have been made.\n Militants have staged demonstrations and clashed with security forces because they say they are being denied jobs in the Palestinian security services and because they are angry at being asked to stop ",19
NYTborndigital_19861227_22738172,22738172,0,19861227,12/27/1986,1986,12,27,neutral,14,145,32825,Egypt,EG,510,Protester,32825,Egypt,EG,27,Law Enforcement,"""The police arrested 111 people during street clashes today with Moslem militants demanding the application of Islamic law in Egypt, security officials said.\nThe police fired tear gas and charged the demonstrators with clubs to disperse them as they marched through the streets of Asyut shouting anti government slogans.",41
NYTborndigital_19830429_22563720,22563720,4,19830429,04/29/1983,1983,04,29,historical,18,181,33495,Spain,ES,332,Military,33495,Spain,ES,173,Citizen,"Troops Storm Parliament\n\nAll were involved in the dramatic plot of Feb. 23, 1981, in which troops stormed the Parliament and held members hostage for 17 hours.",55
NYTborndigital_19860630_22730819,22730819,0,19860630,06/30/1986,1986,06,30,neutral,18,181,36204,Lebanon,LB,723,Kidnapper,41262,United States,US,173,Citizen,"""Kidnappers holding five Americans hostage in Lebanon are reported to have issued new demands for freeing their captives.\nA Beirut news magazine said today that the conditions were passed on to John Cardinal O'Connor, the Roman Catholic Archbishop of New York, when he visited Beirut this month.\nThe magazine Al Shiraa said the release of the hostages was made contingent on Israeli withdrawal from an enclave in southern Lebanon and the dismantling of an Israeli-sponsored Christian militia there.\n\nThe report coincided with talks in Damascus by Representative Bob Dornan, Republican of California.",41
NYTborndigital_20001014_23760641,23760641,11,20001014,10/14/2000,2000,10,14,neutral,14,145,34539,"Palestinian Territory, Occupied",PS,668,Mob,31843,Israel,IL,332,Military," they said, that yesterday's rally immediately followed dramatic developments in the Middle East on Thursday, from the killing of two Israeli soldiers by a Palestinian mob to the retaliatory rocketing of Palestinian neighborhoods by Israeli forces.\n\n\n\nWord of the rally had been spread at more than 150 mosques in New York, New Jersey and Connecticut, organizers said.",83
NYTborndigital_19900215_23026481,23026481,1,19900215,02/15/1990,1990,02,15,historical,18,181,189,American Indian,US,,,41262,United States,US,173,Citizen,"Eddie Hatcher, one of two militant American Indians who in 1988 held hostages in the offices of The Robesonian, a local newspaper, agreed to plead guilty today in exchange for an 18-year state prison sentence.",71
NYTborndigital_19990623_23689546,23689546,22,19990623,06/23/1999,1999,06,23,neutral,14,145,31843,Israel,IL,510,Protester,31843,Israel,IL,27,Law Enforcement,"One popular and influential radio personality, Sheli Yehimovich, challenged Chief Even-Hen on the air to defend what she said was a level of force -- shooting rubber-coated bullets -- that is never used against Jewish demonstrators.\n\n\nTwo years ago, when Jewish protesters violently attacked cars driving on the Sabbath on a main street that transects a religious neighborhood, the police, who were also attacked,",33
NYTborndigital_19960223_23527104,23527104,0,19960223,02/23/1996,1996,02,23,neutral,14,145,32098,Canada,CA,510,Protester,21199,Jean Chr̩tien,CA,,,"""An incident the week of Feb 11, 1996 in which Canadian Prime Minister Jean Chretien scuffled with a protester has not only touched off a national debate about the adequacy of Chretien's security; it has also highlighted conflicting attitudes of the two societies toward the Canadian leader after a referendum advocating independence for Quebec was narrowly defeated in Oct 1995.""",48
NYTborndigital_20050211_24031201,24031201,0,20050211,02/11/2005,2005,02,11,historical,18,1831,31853,Iraq,IQ,690,Attacker,31853,Iraq,IQ,173,Citizen,"""A black-robed suicide attacker exploded an enormous bomb concealed in his sport utility vehicle on Thursday morning in one of Baghdad's main squares, killing at least four people and greeting the Islamic New Year with more of the carnage that has littered the nation's streets with the dead for the past two years.\n\n\n\nThe driver of the vehicle -- a chunky General Motors model,",74
NYTborndigital_19890708_22952738,22952738,2,19890708,07/08/1989,1989,07,08,current,18,181,41262,United States,US,27,Law Enforcement,41262,United States,US,173,Citizen,"\nA dismissed worker at a Coca-Cola plant shot two of his former supervisors, killing one and seriously injuring the other, then took a coworker hostage at the plant late today, the police said.\n\nThe police said they believed that John Wallace, 45 years old, who had been dismissed earlier in the evening, was still in the Coca-Cola Distribution Center in this northern Atlanta suburb at about midnight.",76
NYTborndigital_20040130_23968047,23968047,5,20040130,01/30/2004,2004,01,30,historical,18,181,7997,Hezbollah,LB,,,36204,Lebanon,LB,173,Citizen,"\n\n\nIn the face of some criticism, Mr. Sharon has said the deal was justified to bring home Israeli war dead.\n\nBesides the soldiers -- Adi Avitan, Benny Avraham and Omar Sawayed -- Hezbollah also freed an Israeli businessman, Elhanan Tannenbaum, kidnapped by Hezbollah in October 2000.",44
NYTborndigital_20060118_24022493,24022493,2,20060118,01/18/2006,2006,01,18,current,18,181,31853,Iraq,IQ,572,Insurgency,53790,Daily Monitor,UG,,,"Al Jazeera said she had asked the kidnappers to have pity and release her.\n\nNo insurgent group has taken responsibility for kidnapping her on Jan. 7, but a still photograph from the videotape on the network's Website showed the words ''The Revenge Brigade.''",64
NYTborndigital_19850922_22694269,22694269,4,19850922,09/22/1985,1985,09,22,current,14,145,34096,Philippines,PH,90,Farm Worker,34096,Philippines,PH,27,Law Enforcement,"In Escalante in Negros Occidental Province Friday, sugar farmers and workers protesting low incomes and food scarcity clashed with riot policemen, who opened fire on them, killing 20 and wounding 27 others.\n\n\nIncident Called Unfortunate &lt;break/&gt;\n\n\nThe Armed Forces Chief of Staff, Gen. Fidel V. Ramos, said at a news conference today that the incident was ''very unfortunate'' but that the police had fired in self defense.",21
NYTborndigital_19960729_23505752,23505752,23,19960729,07/29/1996,1996,07,29,neutral,14,141,28823,Argentina,AR,640,Employee,28823,Argentina,AR,,,"What we need are some creative ideas.''\n&lt;umient&gt;&lt;uopts&gt;&lt;ety&gt;39&lt;/ety&gt;&lt;enum&gt;0&lt;/enum&gt;&lt;/uopts&gt;&lt;abstext&gt; Transportation workers protesting Argentina's economic reforms, which have restored stability but neglected social programs.",33
NYTborndigital_19851227_22696974,22696974,3,19851227,12/27/1985,1985,12,27,neutral,14,141,41262,United States,US,173,Citizen,,,,,,More than 300 fans joined Gov. Dick Thornburgh of Pennsylvania in 10-degree temperatures at Harrisburg International Airport at a sendoff rally for the Penn State football team.,90
NYTborndigital_20050713_24054078,24054078,29,20050713,07/13/2005,2005,07,13,current,18,1831,31843,Israel,IL,600,Armed Gang,31843,Israel,IL,,," Israeli troops carried out arrest raids in the West Bank and soldiers killed a member of Islamic Jihad who was suspected of being involved.\n&lt;umient&gt;\n&lt;uopts&gt;&lt;ety&gt;39&lt;/ety&gt;&lt;enum&gt;0&lt;/enum&gt;&lt;/uopts&gt;&lt;abstext&gt;\n Israeli medics cared for the wounded, many of them teenagers, after a suicide bomber blew himself up yesterday outside a mall in Netanya.",44
NYTborndigital_19931226_23286357,23286357,0,19931226,12/26/1993,1993,12,26,neutral,18,181,35528,Russia,RU,600,Armed Gang,35528,Russia,RU,714,Children,"""AP\nThree days after four gunmen stormed a schoolroom and took a group of teenagers hostage, bad weather forced them to abort an attempted flight to the Caspian Sea in a helicopter packed with explosives.\nThe kidnappers, who were holding five hostages today after the Russian Government had given them $10 million in ransom, had been forced by bad weather to wait at an airfield in this southern resort town since Friday.",22
NYTborndigital_20020419_23887647,23887647,9,20020419,04/19/2002,2002,04,19,historical,18,181,31858,Iran,IR,,,41262,United States,US,173,Citizen,"It inserted an amendment to the 2002 appropriation act for the departments of Justice, Commerce and Treasury, but because of a typographical error, the hostage court case was not correctly identified.\n\nThe next month, Congress inserted a provision into the Defense Appropriations Act correcting the typographical error, and said in a conference report that ''the American citizens who were taken hostage by the Islamic Republic of Iran in 1979 have a claim against Iran under the Anti terrorism Act of 1996.''",14
NYTborndigital_19820808_22489389,22489389,0,19820808,08/08/1982,1982,08,08,current,14,141,32525,Germany,DE,173,Citizen,31843,Israel,IL,,,"""A thousand West Germans and Arabs demonstrated here today against Israeli attacks on west Beirut.",60
NYTborndigital_20040901_23997028,23997028,13,20040901,09/01/2004,2004,09,01,neutral,14,141,36605,Mexico,MX,510,Protester,,,,,,"Organizers said that on Wednesday demonstrators plan to block roads and border crossings, walk off their jobs and march on Congress, where Mr. Fox is scheduled to give his speech.\n\n\nWith the press and political classes focused on 2006,",89
NYTborndigital_20020506_23885794,23885794,12,20020506,05/06/2002,2002,05,06,neutral,18,1831,29390,Marwan Barghouti,PS,,,31843,Israel,IL,,,"\n\n\nA Western diplomat said the Israeli officials were exaggerating the role of Marwan Barghouti, a top Fatah official whom Israel has arrested and accused of secretly running Al Aksa Martyrs Brigades, a group of militant Fatah members who have carried out a series of suicide attacks in Israel after their leader was killed in January.\n\n\n''T",79
NYTborndigital_20000119_23771438,23771438,16,20000119,01/19/2000,2000,01,19,neutral,14,141,31492,Japan,JP,173,Citizen,31492,Japan,JP,,,"'' said a woman in Otawara, a farming village 80 miles north of Tokyo, where residents have staged huge protests outside an Aum residence there.\n&lt;umient&gt;&lt;uopts&gt;&lt;ety&gt;39&lt;/ety&gt;&lt;enum&gt;0&lt;/enum&gt;&lt;/uopts&gt;&lt;abstext&gt;Shoko Asahara, the founder of Aum Shinrikyo, is on trial.",53
NYTborndigital_19960321_23521919,23521919,0,19960321,03/21/1996,1996,03,21,neutral,18,1831,7997,Hezbollah,LB,600,Armed Gang,31843,Israel,IL,332,Military,"""The Israeli Army said that a suicide bomber from the Iranian-backed Party of God killed an Israeli soldier on Mar 20, 1996 when he blew himself up near an Israeli convoy in southern Lebanon.",23
NYTborndigital_20040506_23971704,23971704,11,20040506,05/06/2004,2004,05,06,historical,18,1831,31853,Iraq,IQ,600,Armed Gang,31853,Iraq,IQ,,,"Karbala was founded on the site where Hussein, grandson of the Prophet Muhammad, and 72 of his followers were slain in battle by Sunni Muslim warriors in the seventh century, sealing the rift between the Sunni and Shiite sects.\n\n\nIn early March, suicide bombers blew themselves up around the Shiite shrines here and in Baghdad during a Shiite festival, killing nearly 200.\nThe assault on Wednesday morning took place southwest of the shrines.",54
NYTborndigital_20020714_23850418,23850418,2,20020714,07/14/2002,2002,07,14,historical,18,1831,34185,Pakistan,PK,600,Armed Gang,30701,France,FR,61,Engineer,"Five people, including three foreigners, were killed in March in a grenade attack on a church in Islamabad.\nIn May, a suicide bomber killed 11 French engineers and two Pakistanis near a hotel in Karachi.",39
NYTborndigital_20011231_23809852,23809852,1,20011231,12/31/2001,2001,12,31,neutral,18,1831,34539,"Palestinian Territory, Occupied",PS,173,Citizen,31843,Israel,IL,,,"Two Palestinian bombers blew themselves up in a pedestrian mall in Jerusalem, killing 11 people.",59
NYTborndigital_19941028_23360859,23360859,1,19941028,10/28/1994,1994,10,28,neutral,18,1831,35528,Russia,RU,724,Men,35528,Russia,RU,,,"Security officials said the man tried to commandeer the airliner, a Tu-154, at Vnukovo airport, demanding a $2 million ransom and a pistol, a radio and a map of Iran and Iraq.\n\n\n\n In southern Russia, a man who seized a small passenger plane in Makhachkala blew himself up when police commandos stormed the plane in thick fog at dawn today.",17
NYTborndigital_20040202_23976893,23976893,0,20040202,02/02/2004,2004,02,02,neutral,18,1831,31853,Iraq,IQ,600,Armed Gang,31853,Iraq,IQ,173,Citizen,"""Two suicide bombers killed at least 56 people and wounded at least 200 here on Sunday during Muslim holiday celebrations inside the separate headquarters of Iraq's two leading Kurdish political parties, officials said.",59
NYTborndigital_20030619_23943472,23943472,3,20030619,06/19/2003,2003,06,19,neutral,18,1831,31843,Israel,IL,600,Armed Gang,31843,Israel,IL,,," a suicide bomber blew himself up at a grocery store in the Israeli village of Sde Trumot in the Jordan River valley, killing himself and an Israeli, according to Israeli news media.\n\nReporters were not permitted to attend the girl's funeral on Wednesday, but Israeli radio broadcast the eulogy from an 8-year old friend, Adi Levy.",74
NYTborndigital_19880213_22900264,22900264,24,19880213,02/13/1988,1988,02,13,historical,18,181,41262,United States,US,173,Citizen,41262,United States,US,27,Law Enforcement," but we were hoping so much that it was not him,'' Mr. MacCallum said.\n\nThat evening, the staff watched the television program and learned that the man on whom they had come to rely had been convicted of murdering five people in Indiana, including a 2-year old girl and a 6-year old boy, raped another woman and kidnapped two correction officers who guarded him before he escaped from prison by using a fake gun in October 1986.\n\n\n''Maybe he did so much good for us,'' Mr. Arout said, ''because he was atoning.''""",90
NYTborndigital_20050414_24040666,24040666,9,20050414,04/14/2005,2005,04,14,historical,18,181,31853,Iraq,IQ,263,Criminal,31853,Iraq,IQ,173,Citizen,"One, Giuliana Sgrena, was released in early March, only to be wounded shortly afterward when American soldiers at a checkpoint fired on her car, killing the Italian intelligence agent who had secured her release.\n\n\nMost kidnappings in Iraq are carried out by criminal gangs, who sell the hostages to their families or to jihadist groups, Iraqi officials say.",74
NYTborndigital_19830512_22561249,22561249,5,19830512,05/12/1983,1983,05,12,neutral,14,145,30701,France,FR,601,Student,30701,France,FR,27,Law Enforcement,"University students are protesting proposed educational changes that would make admission to universities more selective.\n\nIn Lyons, 12 policemen and a student were injured at the end of a protest by law students, the authorities said.",80
