aid,code,text,bad
22395555,141,"In Bonn, about 250,000 people demonstrated on Oct. 10.\n\n\n\nMr.",0
22397674,141,"In West Beirut, leftist militias and Palestinian guerrillas staged a march and rally near the Arab University to celebrate Mr. Sadat's death.\n\n\n\nLebanese television said in a commentary that ''Sadat's policies were to blame to a great extent for Lebanon's suffering.''",0
22400238,141,"""As many as 60,000 Hondurans held a demonstration here last night to protest ''repression'' by security forces.",0
22400384,141,"While the security guards struggled to break up the continuing brawl, the crowd chanted ''Reggie!'' and the grounds keepers replaced divots in the infield grass.",1
22402552,141,"Hundreds of inmates staged a week long boycott of meals at Rikers Island last month in a protest over food service, visiting rights and the cost of bail.""",0
22406698,141,"May to November.\n\n\nIncludes Brussels tour of Wittamer chocolate shop, Geuze Bellevue brewery, cooking demonstrations by Belgian chefs, special dinners and visits to Antwerp, Bruges and Ghent.",1
22408651,141,"""Pope delivers 25-minute address in strong, clear voice 3 Religious zealots fight Israeli ar- cheological excavation 3 Canadians unimpressed by end of postal strike 9 Budget problems for BBC stir de- bate in Britain 10 Aides of 6 Central American na- tions discuss region's problems 13 Iran says C.I.A. arranged hijack- ing of patrol boat 14 New Zealanders protest rugby game with South Africans 15 Sikh activists in India demand in- dependence 16 Money playing a bigger role in Japan politics 20 Capsule hotels are catching on with Japanese ",1
22409032,141,"A walkout by Portuguese controllers, initially threatened for Sunday, would have little effect on European services, which pass farther north of the oceanic air lane observed by the Portuguese controllers, the officials said.\n\n\n\nAs for British controllers, who are scheduled to vote tomorrow on boycotting American flights, any action would require approval by their parent union, the Institution of Professional Civil Servants.",1
22411183,141,"He said he was awaiting the outcome of the strike authorization vote, which he said was ''going very well,'' before officially announcing a walkout.\n\n\n\nA walkout by Government employees is illegal, and the Reagan Administration yesterday warned air traffic controllers that there would be ''no amnesty'' for those participating in a walkout.",1
22411711,141,"Thousands of people slept on the sidewalks last night to make sure of getting a good vantage point today.\n\n\n\n''We want the Queen!'' they chanted after Charles and Diana went back inside, and in response Queen Elizabeth II came out, to thunderous applause.",1
22413022,141,"Rise in Productivity Sought\n\n\n\nBut it also involves a growing perception on the part of industry not only that ragged boom-town development can result in political backlash but also that workers in areas suffering from inadequate housing and public services consistently demonstrate higher rates of turnover and absenteeism, which lower productivity and result in costly construction and production delays.\n\n\n\n''These kinds of ideas are gaining more and more support within industry,'' said Tom Gleason, a spokesman in Denver for Senator Gary Hart, Democrat of Colorado.",1
22414353,141,"""The Massachusetts House and the Senate approved a compromise $6.35 billion state budget tonight, ending a legislative dispute that disrupted state government for 15 days.\n\nAn emergency spending plan that was passed Monday night, effectively freeing funds to pay state employees and welfare recipients and ending a walkout by state workers, expires tomorrow and state spending will be frozen again until Gov. Edward J. King signs the final budget.\n\n\nA spokesman said the Governor would act ''as expeditiously as possible'' on the budget bill for the fiscal year 1982, which began July 1.",1
22414681,141,"The American Federation of State, County and Municipal Employees, which organized the work stoppage, said that its members stayed away from custodial and service jobs on 30 campuses.\n\n\nBut as the protest spread into the halls of the Statehouse in Boston and the marble rotunda echoed to the din of workers chanting ''solidarity forever,",1
22418587,141,"About 700 enthusiastic supporters attended the rally, less than half the capacity of the auditorium at the High School of Fashion Industries, 225 West 24th Street.",0
22420556,141,"''He started the protest for open housing, in Ann Arbor, Mich. When I was small, I would go down and march in front of the state capitol with a sign saying 'W",0
22420705,141,"Joseph, a pediatrician and formerly the highest ranking medical professional at A.I.D., and Mr. Babb, the deputy assistant administrator for food and nutrition, resigned in protest over the United States vote.\n\nConsumer groups have contended that the promotion of infant formula, particularly in third world countries, discourages breastfeeding.",1
22426222,141,"""More than 30 parents picketed and staged a peaceful sit-in at Public School 11 in Woodside, Queens, to protest the appointment of a principal who they said did not meet their approval.\n\nGerald Perrin, father of a fourth-grader and chairman of a screening committee established to give parents a voice in the selection of a new principal,",0
22432660,141,A three-hour walkout by luggage handlers delayed some domestic flights as well.,0
22432672,141,"Restaurants in Cocoa Beach and Titusville plan to stay open all night before the launching.\n\n\n\nStriking workers have pickets out at the main gates to the 88,000-acre space center.",0
22434639,141,"""The scene was reminiscent of the civil rights marches of the 1960's: Protesters, determined to exercise their constitutional rights, take to the streets, only to be pelted by the rocks and bottles of counter demonstrators.",0
22438792,141,"""More than 1,000 demonstrators gathered in a snowstorm in Stockholm's main square tonight to protest American involvement in El Salvador.",0
22442936,141,"The protesters in Brooklyn chanted ''Hell no, we will not go'' and ''Ayatollah Macchiarola,'' while those in Jamaica Estates, Queens, shouted ''We shall not be moved.''\n\n\n\nThe white parents, carrying American flags, placards and megaphones, were protesting Mr. Macchiarola's order to close the annex to Intermediate School 231 after the Federal Office for Civil Rights ruled that its creation had led to racial segregation.\n\n\n\nThe black demonstrators said they were angered by Mr. Manes's support of the white parents.",0
22442936,141,"""More than 300 white parents and children picketed the home of School Chancellor Frank J. Macchiarola in Brooklyn last night while 150 to 200 blacks demonstrated outside the Queens home of Borough President Donald R. Manes in the continuing dispute over the closing of a predominantly white school annex in Rosedale, Queens.\n\n\n\nBoth groups withstood pouring rain during their two-hour vigils outside the officials' homes.",0
22442936,141,"The closing of the I.S. 231 annex Jan. 30 prompted a wave of protests by Rosedale parents, including a sit-in at the site of the annex, which is in Public School 138.",0
22442936,141,"""More than 300 white parents and children picketed the home of School Chancellor Frank J. Macchiarola in Brooklyn last night while 150 to 200 blacks demonstrated outside the Queens home of Borough President Donald R. Manes in the continuing dispute over the closing of a predominantly white school annex in Rosedale, Queens.\n\n\n\nBoth groups withstood pouring rain during their two-hour vigils outside the officials' homes.",0
22442936,141,"The protesters in Brooklyn chanted ''Hell no, we will not go'' and ''Ayatollah Macchiarola,'' while those in Jamaica Estates, Queens, shouted ''We shall not be moved.''\n\n\n\nThe white parents, carrying American flags, placards and megaphones, were protesting Mr. Macchiarola's order to close the annex to Intermediate School 231 after the Federal Office for Civil Rights ruled that its creation had led to racial segregation.\n\n\n\nThe black demonstrators said they were angered by Mr. Manes's support of the white parents.",0
22442936,141,"""More than 300 white parents and children picketed the home of School Chancellor Frank J. Macchiarola in Brooklyn last night while 150 to 200 blacks demonstrated outside the Queens home of Borough President Donald R. Manes in the continuing dispute over the closing of a predominantly white school annex in Rosedale, Queens.\n\n\n\nBoth groups withstood pouring rain during their two-hour vigils outside the officials' homes.",0
22442936,141,"""More than 300 white parents and children picketed the home of School Chancellor Frank J. Macchiarola in Brooklyn last night while 150 to 200 blacks demonstrated outside the Queens home of Borough President Donald R. Manes in the continuing dispute over the closing of a predominantly white school annex in Rosedale, Queens.\n\n\n\nBoth groups withstood pouring rain during their two-hour vigils outside the officials' homes.",0
22450403,141,"The average price of a quart of milk in New York City is 62 cents, according to the latest survey by the city's Consumer Affairs Department.\n\n\nDairy workers in the New York area last went out on strike in 1979 in a walkout that lasted 64 days.",1
22450515,141,"Instead, he pointed to a new period of prolonged struggle by Arab and Moslem nations to ''annihilate'' the usurpers of the Palestinians.\n\n\nHundreds of Iranians Protest\n\nAs Mr. Velayati spoke, several hundred Iranians opposed to the regime of Ayatollah Ruhollah Khomeini protested outside the Iranian mission.",0
22451314,141,Several hundred thousand young people marched the 40 miles from Buenos Aires to the national shrine at Lujan in a two-day pilgrimage in September.,1
22451998,141,"""Avgustina Vashchenko, the 52-year old Pentecostalist who started a hunger strike seven weeks ago with her daughter while they were in sanctuary at the United State Embassy here, said today that she had ended her fast.\n\nShe said she decided to call off the protest because her 30-year old daughter, Lidiya,",0
22451998,141,She called off her protest Feb. 1 and was released last Friday.,1
22456191,141,"\n\n\nThis morning's newspapers gave the demonstrations scant coverage, but by tonight the official press agency, P.A.P., provided more extensive coverage, suggesting that the Government had shifted its position and was now arguing that a full-scale assault on socialism was once again under way.\n\n\n\nThe agency said about 10,000 people attended the Warsaw demonstration and, dispersed by riot police,",0
22464652,141,"Traffic was again briefly stalled, the police said.\nBy noon, only a handful of demonstrators still picketed the school building, as many ducked in and out of their homes to warm up from the brisk winds and temperatures.",0
22465595,141,"The move came after an attack by Arab students on an Israeli Education Ministry official when he visited the campus Monday.\n\n\nThe protesters gathered this morning in the main al-Manara Square of Ramallah, waving placards and chanting ''Open Bir Zeit!'' and ''Down with the occupation!''""",0
22466908,141,"In the New York area in recent months, Quakers have joined demonstrations for nuclear disarmament, signed a statement of complicity with young men who refused to register for the draft and set up counseling programs for those still grappling with decisions on that issue.\n\n\nThe Westbury Friends have also joined with others to form the Long Island Peace Network, which will disseminate information in advance of demonstrations and lobbying efforts on issues before Congress such as the MX missile.\n\nMr.",0
22469960,141,"But many of those who began the walkout with reluctance are now insisting that the strike go on until a negotiated settlement is reached that would justify the time they have lost from their jobs.\n\n\nGary Greenberg, who has been with the society for 11 years, replacementinally voted against the strike because, he said, it was ''illconceived.''",0
22475451,141,"More recently, they have decried American military aid to El Salvador, fought cuts in aid to the poor and, most dramatically, rallied against the arms race.\n\n\n\nThe common theme is that all life is sacred.",1
22482086,141,"They have also demonstrated in front of the State Department and the White House.\n\nIn Detroit, which has the largest number of Arab-Americans in the country, thousands of Palestinian-Americans turned out last Monday to protest the massacre.\n\nAbout 1,000 Palestinian-Americans demonstrated in Chicago this week and 500 people gathered in Buffalo, N.Y., to mourn the deaths.",0
22485324,141,"The protests were called by underground Solidarity leaders to mark the second anniversary of the Gdansk shipyard agreements that gave birth to the union.\n\n\n\nGovernment officials have tried to dismiss the impact of the demonstrations, but the authorities are clearly concerned about the mood of alienation.",0
22497454,141,"The umpires then agreed, prompting the protest by the Pirates.""",1
22509018,141,"Mr. Duarte said that some deputies from the National Conciliation Party had told Christian Democrats that they were not yet committed to the rightist plan.\n\n\n\nTonight, representatives of four of the five rightist parties bitterly denounced the Christian Democrats and their plans to hold a rally Friday in San Salvador, and accused them of trying to ''play with the numbers'' to make it appear that they should control the government.\n\n\n\nRoberto d'Aubuisson, the head of the Nationalist Republican Alliance,",1
22509018,141,"Mr. Duarte said that some deputies from the National Conciliation Party had told Christian Democrats that they were not yet committed to the rightist plan.\n\n\n\nTonight, representatives of four of the five rightist parties bitterly denounced the Christian Democrats and their plans to hold a rally Friday in San Salvador, and accused them of trying to ''play with the numbers'' to make it appear that they should control the government.\n\n\n\nRoberto d'Aubuisson, the head of the Nationalist Republican Alliance,",1
22513733,141,000 students rally in a one-day protest against proposed cuts in financial aid programs affecting them.,0
22515282,141,"Later, there is a full-page picture of a group of people carrying a giant-size picture of Josef Stalin in a street march and the caption: ''In its early years, the Central Intelligence Agency's primary concern was with Soviet military activities and political intentions.''\n\n\n\nAlthough the agency has received much attention for its covert activities, the subject itself is barely covered in the brochure.",1
22519237,141,"\n\n\nBishop Kantiotis of Ph lorina, who was also present at the extraordinary session of all 78 bishops of the church, said the disturbances broke out when Bishop Amvrosios began criticizing the Archbishop an d other senior clergymen for, in his words, succumbing to ''Governme nt pressure, papist and Freemason influences.''",1
22520022,141,"About 3,000 Cubans were protesting the deportation Friday of a Cuban stowaway, Andres Rodriguez Hernandez, and the attempts of the Immigration and Naturalization Service to deport another stowaway, Clara Nunez.\n\n\nThe police had fanned out through the predominantly Latin neighborhoods, ordering people on the street to move or be arrested.",0
22520731,141,"Black activists in New Orleans protested the deaths of the four people in Algiers and the controversy led to the resignation of Superintendent James Parsons of the police.""",0
22521616,141,"""Despite blustery weather, thousands of people opposed to American military bases in Greece gathered in the main square here today for a rally organized by the ruling Socialists, the Communists and an independent group.\nThis marked the first time since the Government of Prime Minister Andreas Papandreou took office 16 months ago that his Socialists openly joined the Communists in supporting such a demonstration.\n\nSome diplomats said they thought the decision stemmed from anger over Washington's recent proposal to double military aid to Turkey in 1984 while keeping assistance to Greece at 1983 levels.",0
22521970,141," on who was to blame for the walkout by NJ Transit conductors and trainmen, on where they could legally park near the stop or park and get away with it, and on how in the world to use a New York City subway system that many of them had not ridden for years.",1
22523186,141,"After the vote this morning, some supporters of the bill protested by refusing to leave the City Council chamber.",1
22525027,141,"The two opposing armies were exchanging sporadic artillery fire.\nThe Iraqi communique said Iranian forces shelled the Iraqi border towns of Mandali and Zurbatiye today, killing a child and wounding six civilians.\nIn Baghdad, hundreds of Iranian prisoners of war were paraded through the streets of the capital, watched by chanting crowds waving flags and singing patriotic songs.\nThe Persian Gulf war started in September 1980 after months of worsening relations.",1
22525799,141,"But the widespread protests by rightists that many thought might be touched off by the Papandreou repatriation plan have not materialized.\n\n\n\nMany Greeks have welcomed the move, among them Leon Lemos, a shipowner, who has offered support to help refugees settle in abandoned homes on Oinousa, his home island in the Aegean.",1
22531673,141,"""The president of a teachers' union whose members defied a judge's back-to-work order went to jail tonight as about 500 people rallied in support.\n\nTeachers from throughout southwestern Pennsylvania cheered Gerald Cowan, president of the California Area Education Association, who was ordered to spend weekday nights in jail until his 76-member union obeys a court order to work under its expired contract while negotiations continue.",0
22540349,141,"\n\n\nMeanwhile, hundreds of thousands of Greeks shouting anti-American slogans marched on the American Embassy tonight.",0
22540349,141,"Ten years ago today the Greek Army, using tanks, stormed the Polytechnic, in which students and workers had barricaded themselves in protest against the military junta then governing Greece.\n\n\nAt least 18 civilians were killed, although much higher figures are claimed by left wing groups.""",0
22540349,141,"Ten years ago today the Greek Army, using tanks, stormed the Polytechnic, in which students and workers had barricaded themselves in protest against the military junta then governing Greece.\n\n\nAt least 18 civilians were killed, although much higher figures are claimed by left wing groups.""",0
22541130,141,"""Policemen fired on a rally and protesters set off a bomb as opponents of Pakistan's military Government tried to revive a 13-week drive for free elections, opposition sources said today.\nLawyers opposed to martial law held rallies in Karachi, Lahore, Rawalpindi and Peshawar, legal sources said.\nOther demonstrations were held Saturday in at least 14 cities and towns.\nThey were staged in memory of those who died during the now-waning protest campaign against President Mohammad Zia ul-Haq.",0
22547753,141,"""ONE hundred years ago, the Cold Spring Harbor Fish Hatchery was opened for the purpose of stocking local waters with a variety of fish.\nThree years later, Julia Freeman Fairchild was born.\nOver the decades, the hatchery has produced millions of brook and rainbow trout, as well as such salt-water fish as tomcod and smelt.\n\nWhen the State of New York threatened to close the hatchery in 1979 and consolidate its various hatcheries in modern facilities upstate, Mrs. Fairchild, then in her early 90's, and a group of residents protested firmly and eloquently.",0
22548857,141,"Every mountain cove and hollow in the area has a loom, or a potter's wheel, or an up-and-coming mandolin player.\n\n\n\nIf you go to the Guild Fair (Oct. 19-22) sponsored by the Southern Highland Handicraft Guild, you will see more than 100 crafts people, selected from 600 guild members who live in the Appalachian region, exhibiting their work and demonstrating their skills.",1
22548898,141,"In Mr. Marcos's defense, the Philippine News Agency reported, 20,000 people staged a demonstration in his home province of Ilocos Norte.",0
22549749,141,"""Seven Chileans died Friday night in demonstrations against the Government of Gen. Augusto Pinochet, raising the death toll in two days of anti-Pinochet protests to 24, the Government said.",0
22556306,141,"In a speech in the mining town of Copiapo, 500 miles north of here, he warned, ''We are going to send the politicans back to their caves to end this problem.''\n\n\nThe banging of pots is a particularly potent symbol here because a similar protest by economically pressed housewives led to the overthrow of Mr. Allende.",1
22558412,141,"""A hotly disputed Greek Government bill that prescribes how strikes can be called in statecontrolled enterprises was enacted by Parliament early today as thousands of workers protested outside.\n\nThe measure, which is also designed to give workers and local authorities a voice in running the enterprises, prompted the first direct political confrontation between the Socialist Government of Prime Minister Andreas Papandreou and the Communist Party.",1
22558412,141,"24-Hour Protest Strike By MARVINE HOWE Special to the New York Times\n\n\n\nATHENS, June 2 - Trade unions called 24-hour strikes around the country today and mobilized thousands of workers for a march on Parliament to protest legislation aimed at what the Government described as ''socializing'' state-controlled enterprises.\n\n\n\nJoining in challenging the Government over the legislation ever since it was first proposed has been an unusual coalition of Communist and right wing labor leaders and politicians.",0
22558412,141,"24-Hour Protest Strike By MARVINE HOWE Special to the New York Times\n\n\n\nATHENS, June 2 - Trade unions called 24-hour strikes around the country today and mobilized thousands of workers for a march on Parliament to protest legislation aimed at what the Government described as ''socializing'' state-controlled enterprises.\n\n\n\nJoining in challenging the Government over the legislation ever since it was first proposed has been an unusual coalition of Communist and right wing labor leaders and politicians.",0
22564099,141,Some of the protesters and others -members of a coalition of black parents and community activists opposed to Mr. Wagner's selection - went to State Supreme Court in Brooklyn yesterday to challenge the board's practice of discussing the selection in private executive sessions.,0
22568473,141,"Protests in West Germany Special to the New York Times\n\nBONN, April 1 - Several thousand people demonstrated today at a dozen sites throughout West Germany against the possible stationing of new medium-range nuclear missiles here later this year.\nThe police said most of the demonstrations involved peaceful attempts to block entrances to West German ",0
22570651,141,"But the federation, which is the largest student organization, is Socialist and generally supports the Socialist Government and its programs.\n\n\nUntil the law was enacted, students had been demonstrating to back demands for change since the early 1970's.",0
22575496,141,"The recent gathering was attended by 2,000 educators, librarians and book people.\n\nThe Smithsonian Institution has studied, and encouraged interest in, family folklore.",1
22576394,141,"Since the first trial, black residents have held several demonstrations in support of Mr. Green.",0
22576394,141,"Small groups of blacks have picketed The Charleston News and Courier every weekday for three months and have called for a boycott, charging that the paper's coverage of the first trial was ''blatantly racist.''",0
22577146,141,"""UNION workers have marched on New Haven streets several times in the last year, picketing a hotel, a factory, a symphony and an outdoor-billboard company.\n But unionists from all over Connecticut will descend on New Haven tomorrow for a different kind of march: the first statewide Labor Day parade since 1966.\nOrganizers from the state A.F.L.- C.I.O. say that more than 100 unions plan to have representatives march.",0
22580649,141,"People were taking part in similar marches from other cities.""",1
22583210,141,"Last weekend, 200 neighbors rallied in protest.",0
22583236,141," where more than 20,000 people took part in an open-air service followed by a march.\n\nIn other action today, about 1,000 people marched to a church service in Hamburg, several hundred took part in a mass and rally in Munich, a fast for peace began in Frankfurt and a group of protesters were due to hand in a letter of protest to the United States Consulate in Bremen.""",0
22585660,141,"""More doctors joined a hunger strike today to protest the Government's refusal to give them a substantial raise.",0
22585660,141,"""More doctors joined a hunger strike today to protest the Government's refusal to give them a substantial raise.",0
22589371,141,"They called off the protests after British Rail promised no more cutbacks in service and guaranteed that nobody would be dismissed when it eliminated 10,000 jobs from 1985 to 1990.",0
22593649,141,"There are about 150,000 Turkish- Americans in the United States, with the largest group in the New York area, according to official Turkish sources.\n\n\nThe parade was the first major demonstration by Turkish-Americans, according to leading Turkish- Americans.\n''This is a demonstration to show we are here and to mark our national Children's Day,",1
22593649,141,"""With balloons in pink and blue, banners extolling Turkish-American friendship, and hundreds of children in bright satin costumes, Turkish- Americans marched down Fifth Avenue yesterday in the first celebration of Turkish-American Day.\n The city assigned more than 100 police officers, including 10 sergeants, to accompany the parade because of telephoned threats to the organizers.\nBut the parade took place without trouble, despite some tension,",1
22597686,141,"""Lech Walesa and thousands of supporters slipped into an official May Day parade in Gdansk today and shouted Solidarity slogans as they marched past a reviewing stand.",1
22597686,141,"Mr. Urban said the march lasted five hours, but people who watched said that it was considerably shorter and that state television kept repeating parts of what was billed as its live coverage.\n\n\n\nAt 10 A.M., just as the official parade was beginning, several hundred people emerged from mass at St. John's Cathedral in the old town and began chanting Solidarity slogans.",0
22597930,141,"""Leaders of the United Food and Commercial Workers are refusing to support members of the union's local in Austin, Minn., who are contesting their employer, George A. Hormel & Company, over 23 percent wage cuts.\n\n In a meeting last week prompted by a spirited rally earlier this month against Hormel, the national union leaders instead called for a boycott against a Hormel competitor, the Armor division of Conagra Inc.,",0
22598144,141,Called Demonstration \n\n\n\nParaguay closed one of its border crossings to Argentina for three days this month when Mr. Laino called an anti-Stroessner demonstration and invited Paraguayans to cross into Argentina to participate.,1
22603414,141,"On a recent Monday, 4,000 people, mostly workers, marched through the city to protest what they called the scuttling of the shipbuilding industry.",0
22603452,141," when the leak in one of four coolant pumps was detected.\nA spokesman said the utility would fix the leak before starting the reactor, though the postponement was not required.\n\nMeanwhile, 10 people were arrested for investigation of trespassing at the plant after a protest today in which 100 people marched peacefully from nearby Avila Beach to the plant gates.",0
22608614,141,"""Walter F. Mondale moved into the thicket of Puerto Rican politics today, denouncing Reagan Administration policies at a tumultuous rally, seeking votes in the island's Presidential primary and carefully sidestepping the delicate issue of statehood.\n\n\nSpeaking to an ebullient audience of 5,000 in a sports arena in the suburn of Bayamon, Mr. Mondale, sweating and in shirtsleeves, said in a rising voice: ''Remove Ronald Reagan.",1
22610747,141,"""Hotel workers marched outside 32 resorts today and a picket was hit by a car as attorneys went to court to limit picketing in the fourth day of a bitter walkout along Las Vegas' gambling strip.\nOne hotel, meanwhile,",0
22611129,141,"Workers who were turned away from their jobs and replaced began picketing the homes with signs charging a lockout.\n\n\n\nPickets bearing the signs paraded in front of the Palm Gardens Nursing Home, at 615 Avenue C in the Flatbush section of Brooklyn.",0
22611657,141,"\nThe rally came as aides in the Jackson campaign privately expressed confidence about the candidate's chances in the primary against his Democratic rivals, former Vice President Walter F. Mondale and Senator Gary Hart.\n\nThe thousands of people at the plaza, many of whom repeatedly chanted, ''Win Jesse win,'' had waited for nearly an hour before Mr. Jackson spoke.",1
22612570,141,"Dead Pigs Hung at Town Hall \nIn Poitiers, in central France, about 300 farmers drove their tractors through the center of town and hung three dead pigs on the gates of the local government office building.\nThe demonstrations were called by the biggest agricultural union,",0
22612570,141," blocked toll booths and slowly drove farm vehicles on major highways, holding up traffic for hours, according to the police.\nIn southeast France, an estimated 5,000 farmers marched through Lyons carrying placards denouncing President Francois Mitterrand and Prime Minister Margaret Thatcher.\nOn the Mediterranean coast, about 100 winegrowers took a bulldozer from a building site and tore up the surface of the main road between Beziers and Montpellier.",0
22612570,141," blocked toll booths and slowly drove farm vehicles on major highways, holding up traffic for hours, according to the police.\nIn southeast France, an estimated 5,000 farmers marched through Lyons carrying placards denouncing President Francois Mitterrand and Prime Minister Margaret Thatcher.\nOn the Mediterranean coast, about 100 winegrowers took a bulldozer from a building site and tore up the surface of the main road between Beziers and Montpellier.",0
22612570,141," blocked toll booths and slowly drove farm vehicles on major highways, holding up traffic for hours, according to the police.\nIn southeast France, an estimated 5,000 farmers marched through Lyons carrying placards denouncing President Francois Mitterrand and Prime Minister Margaret Thatcher.\nOn the Mediterranean coast, about 100 winegrowers took a bulldozer from a building site and tore up the surface of the main road between Beziers and Montpellier.",0
22612570,141," blocked toll booths and slowly drove farm vehicles on major highways, holding up traffic for hours, according to the police.\nIn southeast France, an estimated 5,000 farmers marched through Lyons carrying placards denouncing President Francois Mitterrand and Prime Minister Margaret Thatcher.\nOn the Mediterranean coast, about 100 winegrowers took a bulldozer from a building site and tore up the surface of the main road between Beziers and Montpellier.",0
22613685,141,"""Nearly 500 chanting women marched past X-rated movie houses and adult bookstores to protest what they said was a lack of police vigor in the investigation of a series of stranglings.",0
22618286,141,"""Social unrest is increasing in France as workers and farmers continue to protest the Government's new austerity policies.\n\n The protests are directed at Government plans to lay off thousands of workers in industries that are suffering losses, like steel and shipbuilding.",0
22618286,141,"""Social unrest is increasing in France as workers and farmers continue to protest the Government's new austerity policies.\n\n The protests are directed at Government plans to lay off thousands of workers in industries that are suffering losses, like steel and shipbuilding.",0
22619953,141,"""A group of about 50 demonstrators gathered yesterday outside the building where former Secretary of State Henry A. Kissinger has his New York office to protest the recommendations made Wednesday by the commission he headed on Central America.\n\n The group, which included clergymen, a psychiatrist, teachers and others who had visited Central America recently, had tried to present a statement to Mr. Kissinger.",0
22622383,141," sponsored by the National Council of Churches, also voiced irritation that the harmony of their visit had been marred when two demonstrators, demanding religious freedom, held up banners during a Baptist church service.\nThe visit came at a time when the Soviet Government has curtailed contacts with the United States.",0
22622700,141,This was a poor turnout by local standards and was interpreted here as both as a reflection of popular indifference to the institutions of the European Economic Community and a protest by many voters who normally vote for the left but chose instead to stay home.,1
22623032,141,"Bailey and two other members of the transplant team spoke at a news conference to address some of the technical and ethical aspects of what he called a ''highly experimental'' operation.\nAs he spoke, about a dozen demonstrators marched outside.",0
22623432,141," Johannesburg's crowded black satellite city, the police fired birdshot and rubber bullets to disperse high school students protesting against the vote.\nPolice Fire Tear Gas \nThe police also fired tear gas at a crowd of around 500 in Eldorado Park, a residential area set aside for people of mixed race close to Johannesburg.\n\nAs polling began early Wednesday in the Cape Peninsula, the largest urban concentration of colored people, campaign workers reported a low turnout.",0
22624227,141,"It gives him all the reason to do just the opposite'' of what the opposition wants.\n\nThe opposition began staging anti- Government protests in May 1983, and a steady series of strikes and rallies through the summer prompted the President to offer to negotiate.\n\nIn August the Government shelved its plans to negotiate, and once again the opposition began calling for protests.",0
